"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_x","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_x","/del_uav/KF_pose/z_y"
6.878,0.7505192698,11.29,2.41348505,11.334,2.385661709,
6.898,0.7656203889,11.33,2.411949158,11.364,2.384535713,
6.918,0.7806870243,11.352,2.411944866,11.402,2.384535713,
6.938,0.79565699,11.398,2.409960985,11.431,2.382127539,
6.958,0.8105765417,11.416,2.409470797,11.465,2.382127539,
6.978,0.8255669506,11.46,2.40798068,11.5,2.380370781,
6.998,0.8406050865,11.501,2.40709281,11.531,2.390451168,
7.018,0.8556082494,11.536,2.405292749,11.569,2.388118197,
7.038,0.8705119786,11.569,2.405213356,11.6,2.387463587,
7.058,0.8853314445,11.602,2.404591322,11.631,2.387463587,
7.078,0.9001889651,11.619,2.405068874,11.67,2.389480787,
7.098,0.9150879826,11.659,2.404898643,11.698,2.389480787,
7.118,0.9299694827,11.699,2.404981852,11.731,2.389385264,
7.138,0.9447642983,11.719,2.403901339,11.767,2.388587049,
7.158,0.9594688561,11.758,2.40417099,11.802,2.350540461,
7.178,0.9741828462,11.788,2.402498722,11.831,2.348198866,
7.198,0.9889277588,11.827,2.401118517,11.867,2.346519758,
7.218,1.003683174,11.864,2.399921179,11.898,2.346519758,
7.238,1.018423041,11.901,2.399002075,11.931,2.344726513,
7.258,1.033138798,11.937,2.398384571,11.966,2.344726513,
7.278,1.047875072,11.97,2.397913694,11.999,2.360632004,
7.298,1.062609194,11.984,2.397686243,12.031,2.360193255,
7.318,1.077295026,12.03,2.397080183,12.065,2.360193255,
7.338,1.091900058,12.067,2.395774126,12.103,2.358980501,
7.358,1.106412953,12.089,2.395820141,12.133,2.358980501,
7.378,1.120863281,12.12,2.395895004,12.165,2.370951841,
7.398,1.135242728,12.158,2.394729853,12.198,2.369328723,
7.418,1.149535867,12.192,2.393709898,12.231,2.369328723,
7.438,1.163716927,12.231,2.392686129,12.267,2.37110212,
7.458,1.177774847,12.255,2.392009258,12.299,2.37110212,
7.478,1.19172166,12.297,2.391705036,12.331,2.370700273,
7.498,1.205566308,12.332,2.391571283,12.366,2.374477517,
7.518,1.21931184,12.354,2.391440868,12.399,2.373704854,
7.538,1.23295105,12.389,2.390794754,12.432,2.372851647,
7.558,1.24647003,12.422,2.389942884,12.463,2.372851647,
7.578,1.259846364,12.461,2.387659073,12.499,2.370768231,
7.598,1.273073564,12.498,2.385659695,12.534,2.370768231,
7.618,1.286167889,12.537,2.383995771,12.567,2.368381792,
7.638,1.29914725,12.569,2.38241601,12.599,2.367152678,
7.658,1.312011457,12.601,2.381383181,12.631,2.36089392,
7.678,1.324770349,12.632,2.380672216,12.665,2.359083008,
7.698,1.337448071,12.669,2.378135681,12.7,2.355839351,
7.718,1.350060763,12.703,2.375956059,12.731,2.355839351,
7.738,1.36260312,12.725,2.373639345,12.764,2.350434585,
7.758,1.375063637,12.764,2.372277021,12.798,2.350434585,
7.778,1.387429594,12.789,2.371870279,12.828,2.349508992,
7.798,1.399696845,12.833,2.372066498,12.866,2.349508992,
7.818,1.411872095,12.858,2.37185812,12.899,2.349908399,
7.838,1.423955577,12.894,2.372545958,12.931,2.349908399,
7.858,1.435948567,12.915,2.373081684,12.965,2.351486346,
7.878,1.447842343,12.97,2.375716925,12.999,2.353808974,
7.898,1.459633839,12.992,2.376172066,13.034,2.353808974,
7.918,1.471318727,13.032,2.377538204,13.065,2.3556594,
7.938,1.4829028,13.054,2.378068686,13.099,2.3556594,
7.958,1.494381887,13.091,2.378507137,13.131,2.356363283,
7.978,1.505753628,13.122,2.379313707,13.165,2.361833325,
7.998,1.517020144,13.159,2.379771948,13.199,2.361833325,
8.018,1.528182208,13.19,2.377417564,13.23,2.356464004,
8.038,1.53924164,13.237,2.368715286,13.265,2.349023033,
8.058,1.550209427,13.257,2.365318298,13.294,2.349023033,
8.078,1.561095566,13.297,2.361567259,13.331,2.343391232,
