"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y"
2.603,0.001386493623,2.623,0.0008086170297,2.623,0.2999999999,
2.623,0.001386493623,2.643,0.0008086170279,2.643,0.2999999999,
2.643,0.001386493623,2.663,0.0008086170263,2.663,0.2999999999,
2.663,0.001386493623,2.683,0.000808617025,2.683,0.2999999999,
2.683,0.001386493623,2.703,0.0008086170225,2.703,0.2999999999,
2.703,0.001386493623,2.723,0.00080861702,2.723,0.2999999999,
2.723,0.001386493623,2.743,0.0008086170165,2.743,0.2999999999,
2.743,0.001386493624,2.763,0.0008086170166,2.763,0.2999999999,
2.763,0.001386493623,2.783,0.0008086170137,2.783,0.2999999999,
2.783,0.001386493623,2.803,0.0008086170119,2.803,0.2999999999,
2.803,0.001386493623,2.823,0.0008086170096,2.823,0.2999999999,
2.823,0.001386493623,2.843,0.0008086170074,2.843,0.2999999999,
2.843,0.001386493623,2.863,0.0008086170052,2.863,0.2999999999,
2.863,0.001386493623,2.883,0.0008086170038,2.883,0.2999999999,
2.883,0.001386493623,2.903,0.0008086170034,2.903,0.2999999999,
2.903,0.001386493622,2.923,0.0008086169995,2.923,0.2999999999,
2.923,0.001386493623,2.943,0.0008086169988,2.943,0.2999999999,
2.943,0.001386493623,2.963,0.0008086169969,2.963,0.2999999999,
2.963,0.001386493623,2.983,0.0008086169957,2.983,0.2999999999,
2.983,0.001386493623,3.003,0.0008086169939,3.003,0.2999999999,
3.003,0.001386493623,3.023,0.000808616992,3.023,0.2999999999,
3.023,0.001386493623,3.043,0.0008086169883,3.043,0.2999999999,
3.043,0.001386493624,3.063,0.0008086169851,3.063,0.2999999999,
3.063,0.001386493624,3.083,0.0008086169855,3.083,0.2999999999,
3.083,0.001386493623,3.103,0.0008086169828,3.103,0.2999999999,
3.103,0.001386493623,3.123,0.0008086169809,3.123,0.2999999999,
3.123,0.001386493623,3.143,0.0008086169784,3.143,0.2999999999,
3.143,0.001386493623,3.163,0.0008086169764,3.163,0.2999999999,
3.163,0.001386493623,3.183,0.0008086169736,3.183,0.2999999999,
3.183,0.001386493624,3.203,0.0008086169728,3.203,0.2999999999,
3.203,0.001386493623,3.223,0.0008086169723,3.223,0.2999999999,
3.223,0.001386493623,3.243,0.000808616969,3.243,0.2999999999,
3.243,0.001386493623,3.263,0.0008086169677,3.263,0.2999999999,
3.263,0.001386493623,3.283,0.0008086169659,3.283,0.2999999999,
3.283,0.001386493623,3.303,0.0008086169649,3.303,0.2999999999,
3.303,0.001386493623,3.323,0.0008086169626,3.323,0.2999999999,
3.323,0.001386493623,3.343,0.0008086169611,3.343,0.2999999999,
3.343,0.001386493623,3.363,0.0008086169575,3.363,0.2999999999,
3.363,0.001386493623,3.383,0.000808616955,3.383,0.2999999999,
3.383,0.001386493624,3.403,0.0008086169541,3.403,0.2999999999,
3.403,0.001386493623,3.423,0.0008086169518,3.423,0.2999999999,
3.423,0.001386493623,3.443,0.0008086169499,3.443,0.2999999999,
3.443,0.001386493623,3.463,0.0008086169474,3.463,0.2999999999,
3.463,0.001386493623,3.483,0.0008086169456,3.483,0.2999999999,
3.483,0.001386493623,3.503,0.0008086169425,3.503,0.2999999999,
3.503,0.001386493624,3.523,0.0008086169421,3.523,0.2999999999,
3.523,0.001386493623,3.543,0.0008086169401,3.543,0.2999999999,
3.543,0.001386493623,3.563,0.0008086169385,3.563,0.2999999999,
3.563,0.001386493623,3.583,0.0008086169367,3.583,0.2999999999,
3.583,0.001386493623,3.603,0.000808616935,3.603,0.2999999999,
3.603,0.001386493623,3.623,0.0008086169339,3.623,0.2999999999,
3.623,0.001386493623,3.643,0.0008086169313,3.643,0.2999999999,
3.643,0.001386493623,3.663,0.0008086169295,3.663,0.2999999999,
3.663,0.001386493623,3.683,0.0008086169258,3.683,0.2999999999,
3.683,0.001386493624,3.703,0.0008086169253,3.703,0.2999999999,
3.703,0.001386493623,3.723,0.0008086169227,3.723,0.2999999999,
3.723,0.001386493623,3.743,0.0008086169208,3.743,0.2999999999,
3.743,0.001386493623,3.763,0.0008086169187,3.763,0.2999999999,
3.763,0.001386493623,3.783,0.0008086169163,3.783,0.2999999999,
3.783,0.001386493623,3.803,0.0008086169144,3.803,0.2999999999,
3.803,0.001386493623,3.823,0.0008086169123,3.823,0.2999999999,
3.823,0.001386493623,3.843,0.000808616912,3.843,0.2999999999,
3.843,0.001386493623,3.863,0.0008086169084,3.863,0.2999999999,
3.863,0.001386493623,3.883,0.0008086169077,3.883,0.2999999999,
3.883,0.001386493623,3.903,0.0008086169058,3.903,0.2999999999,
3.903,0.001386493623,3.923,0.0008086169045,3.923,0.2999999999,
3.923,0.001386493623,3.943,0.0008086169029,3.943,0.2999999999,
3.943,0.001386493623,3.963,0.0008086169007,3.963,0.2999999999,
3.963,0.001386493623,3.983,0.0008086168973,3.983,0.2999999999,
3.983,0.001386493624,4.003,0.000808616894,4.003,0.2999999999,
4.003,0.001386493624,4.023,0.0008086168946,4.023,0.2999999999,
4.023,0.001386493623,4.043,0.0008086168916,4.043,0.2999999999,
4.043,0.001386493623,4.063,0.0008086168899,4.063,0.2999999999,
4.063,0.001386493623,4.083,0.0008086168873,4.083,0.2999999999,
4.083,0.001386493623,4.103,0.0008086168853,4.103,0.2999999999,
4.103,0.001386493623,4.123,0.0008086168827,4.123,0.2999999999,
4.123,0.001386493623,4.143,0.0008086168819,4.143,0.2999999999,
4.143,0.001386493623,4.163,0.0008086168814,4.163,0.2999999999,
4.163,0.001386493622,4.183,0.0008086168777,4.183,0.2999999999,
4.183,0.001386493623,4.203,0.0008086168766,4.203,0.2999999999,
4.203,0.001386493623,4.223,0.0008086168748,4.223,0.2999999999,
4.223,0.001386493623,4.243,0.0008086168737,4.243,0.2999999999,
4.243,0.001386493623,4.263,0.0008086168717,4.263,0.2999999999,
4.263,0.001386493623,4.283,0.00080861687,4.283,0.2999999999,
4.283,0.001386493623,4.303,0.0008086168664,4.303,0.2999999999,
4.303,0.001386493624,4.323,0.0008086168633,4.323,0.2999999999,
4.323,0.001386493624,4.343,0.0008086168632,4.343,0.2999999999,
4.343,0.001386493623,4.363,0.0008086168607,4.363,0.2999999999,
4.363,0.001386493623,4.383,0.0008086168589,4.383,0.2999999999,
4.383,0.001386493623,4.403,0.0008086168563,4.403,0.2999999999,
4.403,0.001386493623,4.423,0.0008086168544,4.423,0.2999999999,
4.423,0.001386493623,4.443,0.0008086168514,4.443,0.2999999999,
4.443,0.001386493624,4.463,0.0008086168507,4.463,0.2999999999,
4.463,0.001386493623,4.483,0.0008086168496,4.483,0.2999999999,
4.483,0.001386493623,4.503,0.0008086168472,4.503,0.2999999999,
4.503,0.001386493623,4.523,0.0008086168456,4.523,0.2999999999,
4.523,0.001386493623,4.543,0.0008086168439,4.543,0.2999999999,
4.543,0.001386493623,4.563,0.0008086168428,4.563,0.2999999999,
4.563,0.001386493623,4.583,0.0008086168403,4.583,0.2999999999,
4.583,0.001386493623,4.603,0.0008086168387,4.603,0.2999999999,
4.603,0.001386493623,4.623,0.0008086168351,4.623,0.2999999999,
4.623,0.001386493623,4.643,0.0008086168337,4.643,0.2999999999,
4.643,0.001386493623,4.663,0.0008086168318,4.663,0.2999999999,
4.663,0.001386493623,4.683,0.0008086168297,4.683,0.2999999999,
4.683,0.001386493623,4.703,0.0008086168278,4.703,0.2999999999,
4.703,0.001386493623,4.723,0.0008086168253,4.723,0.2999999999,
4.723,0.001386493623,4.743,0.0008086168235,4.743,0.2999999999,
4.743,0.001386493623,4.763,0.0008086168208,4.763,0.2999999999,
