"/del_uav/KF_sigma/pos_cov/x_x","/del_uav/KF_sigma/pos_cov/x_y"
13.371,2.376891588e-05,
13.408,3.036641589e-05,
13.445,3.036641589e-05,
13.472,3.036641589e-05,
13.502,3.036641589e-05,
13.537,2.892760993e-05,
13.571,2.892760993e-05,
13.608,2.892760993e-05,
13.638,2.892760993e-05,
13.694,2.744279661e-05,
13.7,2.744279661e-05,
13.735,2.744279661e-05,
13.767,2.744279661e-05,
13.8,2.744279661e-05,
13.834,2.726600229e-05,
13.867,2.726600229e-05,
13.895,2.726600229e-05,
13.934,2.726600229e-05,
13.967,2.726600229e-05,
14,3.069064138e-05,
14.037,3.069064138e-05,
14.074,3.069064138e-05,
14.109,3.069064138e-05,
14.17,3.069064138e-05,
14.173,3.069064138e-05,
14.2,3.069064138e-05,
14.234,3.069064138e-05,
14.267,3.457630052e-05,
14.299,3.457630052e-05,
14.334,3.457630052e-05,
14.365,3.457630052e-05,
14.4,3.457630052e-05,
14.443,3.169011704e-05,
14.475,3.169011704e-05,
14.514,3.169011704e-05,
14.537,3.169011704e-05,
14.567,3.169011704e-05,
14.602,3.169011704e-05,
14.634,3.169011704e-05,
14.666,3.42889927e-05,
14.702,3.42889927e-05,
14.734,3.42889927e-05,
14.774,3.42889927e-05,
14.802,3.42889927e-05,
14.833,3.583367276e-05,
14.868,3.583367276e-05,
14.904,3.583367276e-05,
14.936,3.583367276e-05,
14.967,2.445116811e-05,
15.004,2.445116811e-05,
15.036,2.445116811e-05,
15.071,2.445116811e-05,
15.106,2.445116811e-05,
15.136,1.749674702e-05,
15.17,1.749674702e-05,
15.206,1.749674702e-05,
15.235,1.749674702e-05,
15.268,1.749674702e-05,
15.311,3.243634646e-05,
15.335,3.243634646e-05,
15.368,3.243634646e-05,
15.4,3.243634646e-05,
15.435,3.228958002e-05,
15.467,3.228958002e-05,
15.5,3.228958002e-05,
15.535,3.228958002e-05,
15.567,3.228958002e-05,
15.597,3.228958002e-05,
15.635,3.228958002e-05,
15.665,3.228958002e-05,
15.701,3.031896341e-05,
15.733,3.031896341e-05,
15.765,3.031896341e-05,
15.801,3.031896341e-05,
15.832,2.902308504e-05,
15.883,2.902308504e-05,
15.903,2.902308504e-05,
15.933,2.902308504e-05,
15.967,2.902308504e-05,
16.001,2.741990116e-05,
16.034,2.741990116e-05,
16.067,2.741990116e-05,
16.101,2.741990116e-05,
16.134,2.741990116e-05,
16.167,1.713722251e-05,
16.221,1.713722251e-05,
16.235,1.713722251e-05,
16.269,1.713722251e-05,
16.305,1.713722251e-05,
16.334,1.713722251e-05,
16.367,1.713722251e-05,
16.405,1.713722251e-05,
