"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
3.97,0.2999942612,0.07416773587,0.07490506964,
3.99,0.3,0.07605472207,0.07422580324,
4.01,0.2999970782,0.07525388151,0.07382064964,
4.03,0.2999952018,0.07682475448,0.07378650296,
4.05,0.2999952183,0.07190306485,0.0720568788,
4.07,0.299995224,0.04517721012,0.07190893151,
4.09,0.299995227,0.0235851258,0.03867025127,
4.11,0.2999952305,0.01095248107,0.0009857725961,
4.13,0.2999952382,-0.002459235257,-0.002176469295,
4.15,0.2999952399,-0.02288787439,-0.03643321329,
4.17,0.2999952395,-0.05964744464,-0.03930814087,
4.19,0.2999952459,-0.09995316714,-0.09487134388,
4.21,0.2999952431,-0.1201844811,-0.09951084787,
4.23,0.2999952443,-0.1392977536,-0.1559653153,
4.25,0.2999952498,-0.1852839142,-0.1607029855,
4.27,0.2999952469,-0.2374636233,-0.2310059993,
4.29,0.2999952432,-0.2603260875,-0.2369380148,
4.31,0.2999952415,-0.3220349252,-0.3149097761,
4.33,0.2999952464,-0.4151626229,-0.4067655003,
4.35,0.2999952507,-0.4453046918,-0.414451947,
4.37,0.2999952513,-0.5133100748,-0.505008021,
4.39,0.2999944879,-0.5803382397,-0.6008047374,
4.41,0.2999944885,-0.6282939911,-0.6088564104,
4.43,0.2999944937,-0.6580649614,-0.6851169478,
4.45,0.3000000001,-0.745564878,-0.6915167304,
4.47,0.2999999999,-0.7793207169,-0.7719398352,
4.49,0.3000000003,-0.8295578361,-0.8363373496,
4.51,0.3000000002,-0.8575004935,-0.84174155,
4.53,0.3000000001,-0.8719947338,-0.8694508136,
4.55,0.3,-0.8782925606,-0.8717762509,
4.57,0.3000000001,-0.8754401803,-0.8751277569,
4.59,0.3000000001,-0.8512191772,-0.875409008,
4.61,0.3000000001,-0.8441972733,-0.8468027989,
4.63,0.3,-0.8122457266,-0.8075592667,
4.65,0.3,-0.7846882939,-0.804265941,
4.67,0.3,-0.76761204,-0.7707047685,
4.69,0.3,-0.7448900938,-0.7678883643,
4.71,0.2999946297,-0.7135702968,-0.718145504,
4.73,0.2999966899,-0.6640292406,-0.7139595171,
4.75,0.2999966901,-0.6389433742,-0.6376351801,
4.77,0.2999966867,-0.5973294377,-0.5668038098,
4.79,0.3,-0.5330559611,-0.5608806675,
4.81,0.2999948955,-0.4824773669,-0.4890833575,
4.83,0.2999949116,-0.4558778405,-0.4829948543,
4.85,0.299994915,-0.3851493299,-0.393323743,
4.87,0.2999949177,-0.3207812011,-0.3857985854,
4.89,0.2999949264,-0.2994884849,-0.3066950307,
4.91,0.2999949167,-0.2761692107,-0.3000567357,
4.93,0.2999999999,-0.2464940101,-0.2509526047,
4.95,0.3,-0.2063544393,-0.2468318653,
4.97,0.3,-0.1838470846,-0.1891306963,
4.99,0.3000000001,-0.1547690183,-0.1842884008,
5.01,0.3000000001,-0.09964095056,-0.1067425074,
5.03,0.3,-0.04507829621,-0.1002348388,
5.05,0.3000000001,-0.003247107612,-0.02897444631,
5.07,0.3,0.01025191788,0.02422516567,
5.09,0.3,0.04441348463,0.02868983691,
5.11,0.3,0.06993731856,0.06647325505,
5.13,0.3,0.09170154482,0.06964415311,
5.15,0.3,0.09723806381,0.09492574757,
5.17,0.3000000001,0.1109345332,0.09704732276,
5.19,0.3,0.1165517792,0.1149182056,
5.21,0.3,0.118126303,0.1164151716,
5.23,0.2999965638,0.1210736781,0.1206831618,
5.25,0.2999943013,0.1201180592,0.1210412553,
5.27,0.2999943103,0.1245159134,0.1222638908,
5.29,0.2999943122,0.1234756559,0.1226802772,
5.31,0.2999942991,0.1241437122,0.122715315,
5.33,0.2999942992,0.1263838559,0.1276600315,
5.35,0.2999943009,0.1323073506,0.12807502,
5.37,0.2999943015,0.1482171416,0.1465411514,
5.39,0.299994296,0.157731086,0.1480908357,
5.41,0.2999942961,0.1660550684,0.1626502176,
5.43,0.2999942937,0.1671622694,0.16387201,
5.45,0.2999942873,0.1415047646,0.1613862769,
5.47,0.2999942861,0.123258695,0.1112367143,
5.49,0.2999942909,0.07405979931,0.1070281425,
5.51,0.2999942869,0.0121648265,0.02013976809,
5.53,0.2999942925,-0.01589702442,0.01284805517,
5.55,0.2999942934,-0.06718832999,-0.060480504,
5.57,0.2999942866,-0.08922811598,-0.06663426354,
5.59,0.2999942861,-0.1010963768,-0.09481627668,
5.61,0.2999970791,-0.09912531823,-0.09632295855,
5.63,0.2999946013,-0.09620712698,-0.09644940537,
5.65,0.2999946087,-0.09496728331,-0.0950831411,
5.67,0.2999946119,-0.1011003926,-0.09496847699,
5.69,0.2999946064,-0.105705373,-0.1048054994,
5.71,0.2999946052,-0.1104308516,-0.1218995823,
5.73,0.2999946109,-0.1397322118,-0.1233341515,
5.75,0.2999937736,-0.154790476,-0.1640822271,
5.77,0.3000000001,-0.1832448095,-0.1675019007,
5.79,0.3,-0.2246329784,-0.2198398369,
5.81,0.2999970656,-0.2670664787,-0.2242299058,
5.83,0.2999970653,-0.3000050485,-0.2793437636,
5.85,0.29999707,-0.3080775142,-0.3132204628,
5.87,0.2999970723,-0.321873039,-0.3160693054,
5.89,0.2999970638,-0.3254338801,-0.3246529193,
5.91,0.2999970615,-0.3191974461,-0.3253733006,
5.93,0.2999970634,-0.306974411,-0.3085349732,
5.95,0.2999970625,-0.269554615,-0.3070846301,
5.97,0.2999970626,-0.2482474893,-0.2531642759,
5.99,0.299997061,-0.1947452426,-0.2486392259,
6.01,0.2999970625,-0.1634167135,-0.1705476585,
6.03,0.2999970582,-0.1059226617,-0.1639941495,
6.05,0.2999999999,-0.07886559516,-0.0859886,
6.07,0.3000000001,-0.01724760793,-0.0229953522,
6.09,0.3000000001,-0.004105729517,-0.01774036399,
6.11,0.3000000001,0.01673065126,0.01384888338,
6.13,0.3000000001,0.0382463634,0.01649988687,
6.15,0.3000000001,0.05582275987,0.04203252458,
6.17,0.3000000001,0.07046557963,0.04417518345,
6.19,0.3000000001,0.113479957,0.08914219121,
6.21,0.3000000001,0.146683827,0.1418437755,
6.23,0.3000000001,0.1754947603,0.1462665028,
6.25,0.3000000001,0.1939713359,0.189978682,
6.27,0.2999999999,0.2213349193,0.1936470443,
6.29,0.3000000136,0.2387854606,0.2257849737,
6.31,0.3000000012,0.257758677,0.2550675811,
6.33,0.3000000008,0.2801115513,0.257532188,
6.35,0.3000000005,0.2932563722,0.29025774,
6.37,0.3000000003,0.3049688339,0.311027334,
6.39,0.3000000003,0.3181315958,0.312770324,
6.41,0.3000000002,0.3174997866,0.3129377325,
6.43,0.3000000001,0.3149048686,0.3154139439,
6.45,0.3000000001,0.3041270077,0.3050947355,
6.47,0.3000000001,0.2938635647,0.3041883122,
6.49,0.3000000001,0.2849425077,0.2865740039,
6.51,0.3000000002,0.2726677656,0.2850957298,
6.53,0.3000000002,0.2631067336,0.2649682725,
6.55,0.3000000002,0.2414144427,0.2632790803,
6.57,0.3000000002,0.2272796184,0.2386831849,
6.59,0.3000000001,0.2239115983,0.20866176,
6.61,0.3000000001,0.1921243817,0.2061422861,
6.63,0.3000000001,0.1589809209,0.1632356835,
6.65,0.3000000001,0.1334469914,0.1596350083,
6.67,0.3000000001,0.1131000072,0.1266721648,
6.69,0.3000000001,0.08652740717,0.08988311701,
6.71,0.3000000001,0.07691545784,0.0867958578,
6.73,0.3000000001,0.05410989374,0.05683980828,
6.75,0.3000000001,0.04064761847,0.0543259359,
