"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_y"
1.585,0.0002599970549,0.08590299128,0.09028730541,
1.605,0.0002620399903,0.08700410717,0.0899188742,
1.625,0.0002638089591,0.08815812138,0.0885476917,
1.645,0.0002666567413,0.08900046427,0.09099657834,
1.665,0.000270748548,0.08961361983,0.09268600494,
1.685,0.000272611924,0.08887348786,0.09362834692,
1.705,0.0002754669104,0.08833363114,0.09933338314,
1.725,0.0002788287529,0.09221588873,0.1078929603,
1.745,0.0002819843584,0.09629078795,0.1109626591,
1.765,0.0002852668468,0.09926556575,0.1211364195,
1.785,0.0002873111893,0.1044241674,0.1268677413,
1.805,0.0002901368835,0.108190281,0.1265221685,
1.825,0.0002928974426,0.1109392021,0.122648254,
1.845,0.0002956660844,0.1129462646,0.1271198988,
1.865,0.0002989140218,0.1190811207,0.1321431845,
1.885,0.0003025304957,0.1205713546,0.1336095631,
1.905,0.0003058816327,0.1199958966,0.1273436993,
1.925,0.0003091437625,0.1195797598,0.1254098415,
1.945,0.0003118407636,0.1192765951,0.1277191192,
1.965,0.0003144932938,0.1206146274,0.1284135729,
1.985,0.0003160117036,0.1245775057,0.1329752952,
2.005,0.0003189145385,0.1231534934,0.1376210302,
2.025,0.0003219165436,0.1221210888,0.1230535656,
2.045,0.0003249878494,0.1183808397,0.1202781945,
2.065,0.0003280546877,0.1156557331,0.1177695468,
2.085,0.0003306386339,0.113667175,0.1206274256,
2.105,0.0003333350337,0.1163470738,0.124605827,
2.125,0.0003360576354,0.1183032512,0.1283888966,
2.145,0.0003389417062,0.1167439134,0.1177495047,
2.165,0.0003421187065,0.1126187427,0.1132902056,
2.185,0.0003449733218,0.1125951576,0.1124775708,
2.205,0.00034762334,0.1125778741,0.1159745082,
2.225,0.0003502064542,0.1120688499,0.121424295,
2.245,0.0003525236688,0.1146865423,0.128372848,
2.265,0.0003551208367,0.1136096453,0.1241626367,
2.285,0.0003580302947,0.1128305473,0.1130865738,
2.305,0.0003617059657,0.1087334389,0.1082305163,
2.325,0.0003624192311,0.1057430418,0.1066855416,
2.345,0.0003650675485,0.1035603781,0.1043593287,
2.365,0.0003674431755,0.09893935945,0.1018731147,
2.385,0.0003696916677,0.09555482478,0.09270452708,
2.405,0.0003723497623,0.09073376998,0.08838481456,
2.425,0.0003753882974,0.0872152471,0.08277930319,
2.445,0.0003748775453,0.08464911155,0.08181791753,
