"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
4.121,0.002288969876,6.658,0.1462726938,6.635,0.1389609426,
4.141,0.002293158848,6.675,0.1422681923,6.659,0.1374759972,
4.161,0.002297240915,6.708,0.1363442349,6.695,0.1327927709,
4.181,0.00230121651,6.737,0.1320216427,6.736,0.1306970417,
4.201,0.002305359847,6.771,0.1288715394,6.775,0.1267920583,
4.221,0.00230936962,6.804,0.1273329367,6.797,0.1227152646,
4.241,0.002313356013,6.841,0.1232006536,6.841,0.1143721566,
4.261,0.002317473401,6.872,0.1171770587,6.872,0.1089944914,
4.281,0.002317322539,6.904,0.1122795754,6.887,0.1069568023,
4.301,0.002317733735,6.947,0.1087049389,6.934,0.1042689681,
4.321,0.002326011382,6.968,0.1060958493,6.959,0.1031444594,
4.341,0.002327444423,7.003,0.1041914886,6.977,0.1018529683,
4.361,0.002331339289,7.037,0.09979414219,7.037,0.09184876829,
4.381,0.002335127519,7.069,0.09438423583,7.073,0.08449735492,
4.401,0.002338659505,7.102,0.09064157691,7.108,0.07807318121,
4.421,0.002342589757,7.136,0.08490322962,7.127,0.07452670485,
4.441,0.002346799283,7.169,0.08071523618,7.172,0.06774075329,
4.461,0.00235096866,7.205,0.07465247223,7.21,0.05825203657,
4.481,0.002354969252,7.237,0.06633112746,7.228,0.05384331942,
4.501,0.00235881074,7.27,0.06024329489,7.268,0.04519966617,
4.521,0.002362774454,7.304,0.05277730789,7.298,0.03682330251,
4.541,0.002366915054,7.337,0.0443192526,7.336,0.02873278223,
4.561,0.002371043513,7.37,0.03791978648,7.356,0.02497129142,
4.581,0.002374920038,7.404,0.0302345036,7.402,0.01820856705,
4.601,0.002378860665,7.445,0.02453868903,7.434,0.01247991528,
4.621,0.002383054285,7.479,0.0172777374,7.468,0.009810668416,
4.641,0.002386958804,7.511,0.01196974266,7.503,0.007023436949,
4.661,0.002391003423,7.547,0.008094254432,7.528,0.004600394517,
4.681,0.002395153664,7.57,0.005175715508,7.566,-0.0001245883468,
4.701,0.002399033567,7.604,0.003037696016,7.604,-0.0036164755,
4.721,0.002401385464,7.638,0.001108063149,7.638,-0.006081901491,
4.741,0.002404133918,7.671,-0.0002952511144,7.66,-0.007679852657,
4.761,0.002405602388,7.704,-0.001277287575,7.698,-0.009703582153,
4.781,0.0024088653,7.745,-0.004958539905,7.743,-0.01212341525,
4.801,0.002412602356,7.77,-0.007688169723,7.775,-0.01375320181,
4.821,0.002416228488,7.803,-0.009427734413,7.805,-0.01330627408,
4.841,0.002420000985,7.846,-0.01067347651,7.819,-0.01332965121,
4.861,0.002423577404,7.872,-0.01134036306,7.862,-0.01292036939,
4.881,0.002427121512,7.909,-0.01094954297,7.902,-0.0123301344,
4.901,0.002430553045,7.941,-0.01066430028,7.942,-0.01225603372,
4.921,0.002433293819,7.968,-0.01044667633,7.973,-0.01144752372,
4.941,0.002436328671,8.002,-0.0102878748,7.995,-0.0109565435,
4.961,0.0024396513,8.039,-0.007155455354,8.035,-0.009654982015,
4.981,0.002443212749,8.07,-0.0007878979728,8.072,-0.008039510809,
5.001,0.002446945072,8.105,0.003872585189,8.094,-0.007434855215,
5.021,0.002451186093,8.136,0.007352892251,8.13,-0.005907537416,
5.041,0.002455571451,8.169,0.007043259135,8.175,-0.004782393575,
5.061,0.002459700188,8.204,0.006810730921,8.197,-0.004131448921,
5.081,0.002463663614,8.238,0.006639876597,8.231,-0.002377182944,
5.101,0.002467482613,8.271,0.006506603907,8.272,-0.001178896287,
5.121,0.002471092849,8.304,0.006408320418,8.287,-0.0001524251711,
5.141,0.002473605482,8.336,0.006238306664,8.333,0.001253458089,
5.161,0.002477366169,8.37,0.006073222859,8.365,0.003161232686,
5.181,0.002480747851,8.404,0.005949298505,8.408,0.007211776916,
5.201,0.002483464707,8.434,0.002603345674,8.44,0.01010054257,
5.221,0.002486516706,8.474,0.0001666114021,8.455,0.0112968469,
5.241,0.002490632815,8.514,0.001394689207,8.495,0.01378517691,
5.261,0.002494851161,8.543,0.002295282535,8.532,0.01617391594,
5.281,0.002498602493,8.57,0.01113480524,8.55,0.01731910929,
