"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
1.238,0.2999952198,0.7455207705,0.6729440252,
1.258,0.2999952225,0.7219693661,0.6768764062,
1.278,0.2999952246,0.6980159283,0.6300639893,
1.298,0.2999952262,0.6446294785,0.5818749463,
1.318,0.2999952278,0.6249181032,0.5818749463,
1.338,0.2999952292,0.5853145123,0.5293427689,
1.358,0.2999952304,0.5320455432,0.5299588425,
1.378,0.2999952312,0.5015328526,0.4541037844,
1.398,0.2999952321,0.4710294902,0.4541037844,
1.418,0.2999952331,0.4367659986,0.4107391028,
1.438,0.2999952341,0.4206160307,0.381036746,
1.458,0.299995235,0.425060302,0.3838008855,
1.478,0.2999952364,0.4248709381,0.3838008855,
1.498,0.2999952382,0.4237986207,0.3839198658,
1.518,0.2999952402,0.4263883233,0.3815446148,
1.538,0.2999952421,0.4245017767,0.3821776525,
1.558,0.2999952442,0.4295434058,0.3847543622,
1.578,0.2999953589,0.4326998591,0.3888433621,
1.598,0.2999957957,0.4393101037,0.3981769436,
1.618,0.2999959199,0.4458962679,0.3975956491,
1.638,0.2999951829,0.4530844688,0.4194626719,
1.658,0.3000000001,0.4737880528,0.4194626719,
1.678,0.3000000001,0.4909979105,0.4443759123,
1.698,0.3000000001,0.4917561412,0.4438230853,
1.718,0.3000000001,0.4974691868,0.4496727018,
1.738,0.3000000002,0.5100310445,0.4496727018,
1.758,0.3000000001,0.5129668117,0.4630233883,
1.778,0.3000000002,0.5186191201,0.4725239097,
1.798,0.3000000001,0.5207384229,0.4725239097,
1.818,0.3000000001,0.5161653757,0.4630065863,
1.838,0.3000000001,0.5048419833,0.4630065863,
1.858,0.3000000001,0.4899258316,0.4435241896,
1.878,0.3000000001,0.4828878641,0.4450966457,
1.898,0.3,0.4400175214,0.4153783738,
1.918,0.3000000001,0.4210630059,0.4153783738,
1.938,0.3000000001,0.4007049203,0.3623807786,
1.958,0.3,0.3563283384,0.3623807786,
1.978,0.3000000001,0.3179971874,0.3025171323,
1.998,0.3000000001,0.3024842143,0.2586924565,
2.018,0.3000000001,0.2744674981,0.2586924565,
2.038,0.3,0.2575961947,0.2322747276,
2.058,0.3000000001,0.2532477081,0.2310785946,
2.078,0.3000000001,0.2444051355,0.2192457424,
2.098,0.3000000001,0.2386461645,0.2213222903,
2.118,0.3000000001,0.2282818109,0.2067225733,
2.138,0.3000000001,0.2272579372,0.2067225733,
2.158,0.3,0.2371438295,0.2147471567,
2.178,0.3,0.2760500312,0.2510275442,
2.198,0.3,0.3155281842,0.3103741843,
2.218,0.3000000001,0.3944604695,0.3219579313,
2.238,0.3,0.4185191989,0.3947712921,
2.258,0.2999999995,0.465680629,0.3947712921,
2.278,0.3000000004,0.4868811369,0.4592415712,
2.298,0.3000000003,0.5306606889,0.4771567774,
2.318,0.3,0.5745569468,0.5428605139,
2.338,0.3000000004,0.5955072641,0.6067861791,
2.358,0.3000000004,0.6386889219,0.6067861791,
2.378,0.3,0.6803569198,0.666313208,
2.398,0.2999991143,0.722061038,0.666313208,
2.418,0.3000000003,0.7657054663,0.7290759872,
2.438,0.2999999998,0.7867970467,0.7898513581,
2.458,0.3000000001,0.8273994923,0.7898513581,
2.478,0.3,0.8702325225,0.848607938,
2.498,0.3,0.9087434411,0.855509002,
2.518,0.2999922836,0.9514564276,0.9140085846,
2.538,0.2999930765,0.9955450892,0.9782539054,
2.558,0.3000000001,1.035732031,0.9782539054,
2.578,0.3000000001,1.076505184,1.039364055,
2.598,0.3000000001,1.109191656,1.092481952,
2.618,0.3000000001,1.151154995,1.092481952,
2.638,0.3000000001,1.185962319,1.15010558,
2.658,0.3000000001,1.228294134,1.211218404,
2.678,0.3000000001,1.270576477,1.270447321,
2.698,0.3000000001,1.311417818,1.272265887,
2.718,0.3000000001,1.348720312,1.348720312,
