"/del_uav/KF_sigma/pos_cov/x_x","/del_uav/KF_sigma/pos_cov/x_y"
10.698,4.635462806e-05,
10.734,4.635462806e-05,
10.768,4.635462806e-05,
10.799,4.434093802e-05,
10.832,4.434093802e-05,
10.883,4.434093802e-05,
10.897,4.434093802e-05,
10.928,4.096034626e-05,
10.96,4.096034626e-05,
11.001,4.096034626e-05,
11.031,3.162262047e-05,
11.064,3.162262047e-05,
11.094,3.162262047e-05,
11.128,3.162262047e-05,
11.161,4.86541423e-05,
11.194,4.86541423e-05,
11.226,4.307704948e-05,
11.267,4.307704948e-05,
11.295,4.248904653e-05,
11.329,4.248904653e-05,
11.369,4.248904653e-05,
11.397,4.248904653e-05,
11.432,4.248904653e-05,
11.471,3.844670611e-05,
11.506,3.844670611e-05,
11.54,3.844670611e-05,
11.568,3.844670611e-05,
11.597,3.844670611e-05,
11.63,4.340738694e-05,
11.662,4.340738694e-05,
11.697,4.340738694e-05,
11.727,3.991330142e-05,
11.761,3.991330142e-05,
11.796,3.991330142e-05,
11.829,3.978698212e-05,
11.869,3.978698212e-05,
11.896,3.978698212e-05,
11.931,3.978698212e-05,
11.966,3.978698212e-05,
11.994,4.098610441e-05,
12.027,4.098610441e-05,
12.064,4.098610441e-05,
12.094,3.531819635e-05,
12.127,3.531819635e-05,
12.161,3.531819635e-05,
12.193,3.531819635e-05,
12.227,3.843787954e-05,
12.259,3.843787954e-05,
12.3,3.899109686e-05,
12.327,3.899109686e-05,
12.368,3.899109686e-05,
12.397,3.899109686e-05,
12.425,3.899109686e-05,
12.462,3.899109686e-05,
12.495,3.899109686e-05,
12.529,3.899109686e-05,
12.561,4.153313348e-05,
12.594,4.153313348e-05,
12.627,4.153313348e-05,
12.662,4.153313348e-05,
12.694,4.153313348e-05,
12.729,4.153313348e-05,
12.771,4.164226665e-05,
12.795,4.164226665e-05,
12.83,4.164226665e-05,
12.861,4.164226665e-05,
12.896,4.610557343e-05,
12.922,4.610557343e-05,
12.963,4.610557343e-05,
12.993,4.610557343e-05,
13.027,4.024665881e-05,
13.06,4.024665881e-05,
13.094,4.024665881e-05,
13.129,2.827306306e-05,
13.161,2.827306306e-05,
13.194,2.827306306e-05,
13.227,2.827306306e-05,
13.261,4.052971191e-05,
13.294,4.052971191e-05,
13.332,4.052971191e-05,
13.363,4.428027992e-05,
13.397,4.428027992e-05,
13.428,4.428027992e-05,
13.468,4.428027992e-05,
13.494,4.428027992e-05,
13.527,3.53610151e-05,
13.56,3.53610151e-05,
13.593,3.53610151e-05,
13.629,3.53610151e-05,
13.661,3.521474327e-05,
13.694,3.521474327e-05,
13.727,3.521474327e-05,
13.761,3.521474327e-05,
13.794,4.369545794e-05,
13.827,4.369545794e-05,
13.861,4.369545794e-05,
13.891,4.823555462e-05,
13.926,4.823555462e-05,
13.964,4.823555462e-05,
13.998,4.823555462e-05,
14.027,3.582912115e-05,
14.071,3.582912115e-05,
14.094,3.582912115e-05,
14.127,3.582912115e-05,
14.161,3.582912115e-05,
14.195,5.371950013e-05,
14.228,5.371950013e-05,
14.261,5.371950013e-05,
14.297,5.371950013e-05,
14.328,5.371950013e-05,
14.364,3.986904434e-05,
14.4,3.986904434e-05,
14.429,3.986904434e-05,
14.464,3.986904434e-05,
14.492,3.986904434e-05,
14.527,3.554910379e-05,
14.564,3.554910379e-05,
14.596,3.554910379e-05,
14.626,3.554910379e-05,
14.661,3.554910379e-05,
14.694,4.495978798e-05,
14.726,4.495978798e-05,
14.765,4.495978798e-05,
14.795,4.495978798e-05,
14.827,4.5180042e-05,
14.859,4.5180042e-05,
14.894,4.5180042e-05,
14.926,4.5180042e-05,
14.959,4.928308279e-05,
