"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_y"
1.444,4.530821383e-05,-0.0002537170665,-0.02334554493,
1.464,4.525939263e-05,-0.0002537170665,-0.02337404341,
1.484,4.520637774e-05,-0.0002430818467,-0.0175611265,
1.504,4.523590517e-05,5.184104682e-05,-0.01439681649,
1.524,5.094219916e-05,6.181487619e-05,-0.01103425492,
1.544,6.09289496e-05,0.0002762188679,-0.006652550306,
1.564,6.680850051e-05,0.0002762188679,-0.001076274551,
1.584,7.261935976e-05,0.0002762188679,0.004104539286,
1.604,8.101838923e-05,0.000668123687,0.007782438304,
1.624,9.089579703e-05,0.0006786539688,0.01158739906,
1.644,9.754684935e-05,0.0006786539688,0.01608452573,
1.664,0.0001014810193,0.0006786539688,0.01910930127,
1.684,0.0001041680098,6.519663038e-05,0.01983612217,
1.704,0.0001074369721,6.51966304e-05,0.02093146928,
1.724,0.0001133632229,6.519663041e-05,0.01861453243,
1.744,0.0001193272137,-0.0006747773834,0.01514814701,
1.764,0.0001246465755,-0.0006747773834,0.01358855981,
1.784,0.0001294226555,-0.0006854748359,0.01010164898,
1.804,0.000131917502,-0.0006854748359,0.008153810166,
1.824,0.0001330615382,-0.0006854748359,0.004285317846,
1.844,0.0001334606563,-0.0002499018861,0.003063491313,
1.864,0.0001332012998,0.0008750541889,0.002844057977,
1.884,0.0001322594881,0.0008750541889,0.0005092756473,
1.904,0.0001311797765,0.0008750541889,-6.768510502e-05,
1.924,0.0001297435312,-0.0002959109907,-0.0006370734191,
1.944,0.0001274607326,-0.0002959109907,-0.0003711862664,
1.964,0.000124343842,6.074836305e-05,0.0009269760922,
1.984,0.000121115796,6.074836305e-05,0.001419941545,
2.004,0.0001180184754,6.074836305e-05,0.00309941452,
2.024,0.0001150778533,6.074836305e-05,0.007639483083,
2.044,0.0001117151844,1.953546759e-05,0.01031081751,
2.064,0.0001069123633,1.953546758e-05,0.01591772586,
2.084,0.0001010563858,-0.0007974333686,0.01645295881,
2.104,9.517113387e-05,-0.0007974333686,0.01797403209,
2.124,8.975933911e-05,-0.0007974333686,0.01830914244,
2.144,8.460769548e-05,-0.0007974333685,0.01960176975,
2.164,7.950573014e-05,0.001329493257,0.02069526166,
2.184,7.824305726e-05,0.001329493257,0.01878506131,
2.204,7.575972784e-05,-0.0005827120823,0.01316901855,
2.224,7.318346379e-05,-0.0006009998708,0.01125930715,
2.244,7.162623108e-05,-0.0006009998708,0.007231324445,
2.264,7.064852838e-05,-0.0006009998708,0.005122017115,
2.284,6.903910218e-05,-0.009634754774,0.0004207732272,
2.304,6.554512517e-05,-0.009634754774,-0.00376496301,
2.324,6.305793283e-05,-0.009634754774,-0.005417180713,
2.344,6.11084818e-05,-0.009634754774,-0.008818211965,
2.364,6.038961502e-05,-0.09960098715,-0.01247877628,
2.384,5.9945725e-05,-0.09960098715,-0.01591975987,
2.404,5.748791797e-05,-0.09960098715,-0.01927498356,
2.424,5.552474489e-05,-0.1800279309,-0.02094416879,
2.444,5.526690532e-05,-0.1800656924,-0.0225438606,
2.464,5.613884985e-05,-0.1800656924,-0.02440029569,
2.484,5.376550139e-05,-0.2714335112,-0.02648454159,
2.504,5.106327668e-05,-0.2714335112,-0.028669741,
2.524,4.776183058e-05,-0.2714335112,-0.03118865564,
2.544,4.433419869e-05,-0.2714335112,-0.03200433776,
2.564,4.05159239e-05,-0.3654286923,-0.03126728535,
2.584,3.661132848e-05,-0.3654286923,-0.03021152131,
