"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
3.799,0.3,-0.1015624404,-0.09360467561,
3.819,0.3000000001,-0.1135864258,-0.09528276412,
3.839,0.3,-0.1276452541,-0.1120647572,
3.859,0.3,-0.1347876638,-0.1308647182,
3.879,0.3,-0.1329016834,-0.1324424195,
3.899,0.3,-0.125935927,-0.1306147681,
3.919,0.3000000001,-0.1141228154,-0.1304613943,
3.939,0.3000000001,-0.1065576524,-0.1155016074,
3.959,0.3,-0.1019553542,-0.103099814,
3.979,0.3,-0.08089350164,-0.1020590531,
3.999,0.3,-0.06809286028,-0.07445017469,
4.019,0.3,-0.06564550102,-0.07213322378,
4.039,0.3,-0.05691960081,-0.06467280335,
4.059,0.3,-0.04652628675,-0.06404672456,
4.079,0.3,-0.03438651189,-0.04359457001,
4.099,0.3,-0.02902669087,-0.04187820405,
4.119,0.3,-0.01189228427,-0.02333773025,
4.139,0.3,0.01941731945,0.01584063569,
4.159,0.3,0.02528554387,0.01912854402,
4.179,0.3,0.03242593259,0.02820564112,
4.199,0.3,0.03412437439,0.03360881811,
4.219,0.3,0.03940793499,0.03406221128,
4.239,0.3,0.04105516151,0.03807444059,
4.259,0.3,0.05374171212,0.03844200681,
4.279,0.3,0.08306757361,0.05246977233,
4.299,0.3,0.1101503223,0.0926385069,
4.319,0.3,0.1404658556,0.1368602927,
4.339,0.3,0.1610066295,0.1405713478,
4.359,0.3,0.1741907299,0.1654309475,
4.379,0.3,0.181551218,0.1675171085,
4.399,0.2999957643,0.1912641376,0.1853490282,
4.419,0.2999957534,0.2019782811,0.1868454972,
4.439,0.2999957495,0.1960269213,0.2007081169,
4.459,0.2999967153,0.1912484467,0.1931524683,
4.479,0.2999967154,0.1857139915,0.1863352678,
4.499,0.2999967117,0.1797246784,0.185763234,
4.519,0.2999967091,0.177531004,0.1782169076,
4.539,0.3,0.1815234423,0.1775836785,
4.559,0.2999965609,0.1851464957,0.1824267768,
4.579,0.2999951381,0.1872221231,0.1868149152,
4.599,0.2999951365,0.1899962723,0.1871916247,
4.619,0.2999951433,0.1882006079,0.1881194611,
4.639,0.2999951487,0.1899908185,0.1881971739,
4.659,0.2999951502,0.1895229369,0.1893177949,
4.679,0.2999951472,0.1865136176,0.1867605389,
4.699,0.3,0.1717217118,0.1865460079,
4.719,0.2999935315,0.1475958228,0.1605017188,
4.739,0.2999935288,0.1265177876,0.1582982027,
4.759,0.2999935298,0.1118371263,0.1288536151,
4.779,0.2999935285,0.08239448816,0.08628719606,
4.799,0.2999935318,0.05740270764,0.08271500145,
4.819,0.299993527,0.02159953676,0.04416111504,
4.839,0.2999935258,0.006489901803,0.04092564734,
4.859,0.2999935378,-0.006180117838,-0.003589810564,
4.879,0.2999935328,-0.02199379168,-0.007325569307,
4.899,0.299993529,-0.03015132621,-0.02413521097,
4.919,0.2999935228,-0.03345047683,-0.02552749479,
4.939,0.2999935219,-0.04723685235,-0.03605283356,
