"/ual/odom/pose/pose/position/x_x","/ual/odom/pose/pose/position/x_y","/del_uav/KF_pose/x_y"
2.534,0.1653753817,0.1569241846,
2.567,0.1720913947,0.1606115293,
2.6,0.1729057729,0.1695355245,
2.634,0.1738939881,0.1699427139,
2.667,0.1782952398,0.1704368219,
2.7,0.1821365654,0.1782034367,
2.734,0.1914207041,0.1801240997,
2.769,0.1931267828,0.1903321581,
2.8,0.1954441667,0.1911851977,
2.834,0.1966221631,0.1923438897,
2.867,0.1990073472,0.1929328881,
2.901,0.1982761919,0.1941254808,
2.934,0.1917563081,0.1937599035,
2.967,0.1882096231,0.190499962,
3,0.1832459122,0.1831606313,
3.034,0.1786326915,0.1751127878,
3.067,0.1700094193,0.1728061779,
3.1,0.1700371802,0.1684945423,
3.134,0.1702875048,0.1685084237,
3.167,0.173137024,0.1686335863,
3.2,0.174830392,0.1700583464,
3.234,0.1757697016,0.1709050308,
3.267,0.1778109223,0.1713746862,
3.3,0.1804614365,0.1779612858,
3.334,0.1831914335,0.179286543,
3.367,0.1798663437,0.1806515414,
3.4,0.1777120233,0.1789889964,
3.434,0.176163882,0.172345847,
3.467,0.1776272953,0.1715717763,
3.5,0.1795790046,0.1778694719,
3.534,0.1827349067,0.1788453264,
3.567,0.1856465042,0.180423277,
3.6,0.1900319159,0.1874450646,
3.635,0.1906974912,0.1896377703,
3.667,0.1911097616,0.1899705577,
3.7,0.1930214167,0.1901766929,
3.734,0.1988262087,0.1911325205,
3.767,0.2007253021,0.1996009055,
3.8,0.1986004114,0.1949844632,
3.834,0.1978079528,0.1939220178,
3.867,0.1982243657,0.1935257885,
3.9,0.1991391182,0.1937339949,
3.934,0.2032414973,0.1997573601,
3.968,0.2059643418,0.2018085497,
4,0.2073916644,0.2031699721,
4.034,0.2092980444,0.2038836335,
4.067,0.2129072398,0.2048368237,
4.1,0.2204065472,0.2122074111,
4.134,0.2242579609,0.2215230541,
4.167,0.2294035852,0.223448761,
4.2,0.2347716093,0.2315875624,
4.234,0.2308536768,0.2287055855,
4.267,0.2265846133,0.2267466193,
4.303,0.2241000533,0.2246120873,
4.334,0.2255448848,0.2233698069,
4.368,0.2267322838,0.2240922223,
4.4,0.228679359,0.2246859214,
4.436,0.2291988879,0.2256594585,
4.467,0.2289779335,0.2259192228,
4.5,0.2293268591,0.2258087453,
4.534,0.232068941,0.2259832081,
4.567,0.2333499044,0.2273542489,
4.6,0.2297756523,0.2335607195,
4.634,0.2256457061,0.2262076044,
4.667,0.2215276659,0.2241426312,
4.7,0.2152644247,0.216517622,
4.734,0.2134563923,0.2133860013,
4.767,0.2074352205,0.2124819851,
4.8,0.1954483986,0.2039054102,
4.834,0.1908930689,0.1923460104,
4.867,0.1861238033,0.1845023567,
4.9,0.1773158461,0.182117724,
4.934,0.1740311831,0.1721477566,
4.967,0.1708690673,0.1705054251,
5,0.1619747728,0.1633583783,
5.034,0.1577835977,0.1589112311,
5.067,0.1526360214,0.1512496546,
5.1,0.1485483348,0.1486758663,
5.134,0.1409460306,0.141066034,
5.167,0.1360014081,0.1372648818,
5.2,0.1269567907,0.1292265815,
5.234,0.1231341138,0.1247042728,
5.268,0.1187511012,0.1172269455,
5.3,0.1179689318,0.1150354392,
5.334,0.1171875969,0.1146443546,
5.367,0.1149545759,0.1142536873,
5.4,0.1138003767,0.1125600774,
5.434,0.1143186614,0.1125600775,
5.467,0.1158993542,0.1128192202,
5.5,0.1168457791,0.1136095668,
5.534,0.1167742759,0.1140827795,
5.567,0.1171835363,0.1140470281,
5.6,0.1169534549,0.1142516585,
5.634,0.1138740107,0.114136618,
5.667,0.1129640713,0.112596896,
5.7,0.1103740931,0.1065759373,
5.734,0.1105811149,0.1052809483,
5.767,0.1103448048,0.1053844593,
5.8,0.1075128913,0.1052663043,
5.834,0.1053897738,0.1038503476,
