"/ual/odom/pose/pose/position/z_x","/ual/odom/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
9.95,0.2114274651,0.2249413133,
9.984,0.1922081858,0.2092998291,
10.017,0.185101524,0.1952727575,
10.05,0.1739548296,0.1820901753,
10.084,0.164279148,0.1739548296,
10.117,0.1537871063,0.1619145789,
10.15,0.151393652,0.1542570274,
10.184,0.1593333781,0.1525101797,
10.217,0.1638008505,0.1593333781,
10.25,0.1755171567,0.1625939351,
10.284,0.2042002082,0.1788837804,
10.317,0.2232963294,0.1998179273,
10.35,0.2616486549,0.229020594,
10.384,0.2757767141,0.2570118006,
10.417,0.3005363345,0.2827728841,
10.45,0.3539445102,0.3008435393,
10.484,0.3822959363,0.3616038241,
10.517,0.4081118107,0.3822959363,
10.55,0.4716494679,0.4011374919,
10.584,0.5006592274,0.4716494679,
10.617,0.5307901502,0.4928220607,
10.65,0.5918923616,0.5401997646,
10.684,0.6177783012,0.584794834,
10.717,0.6416489482,0.6242271048,
10.75,0.6677591801,0.6416489482,
10.784,0.707106173,0.6607053387,
10.817,0.7246396542,0.7069087717,
10.85,0.752188623,0.719705474,
10.884,0.7655435205,0.7557965315,
10.917,0.783295393,0.7655435205,
10.95,0.7963956594,0.7784996144,
10.984,0.7983494997,0.7963956594,
11.017,0.7860501409,0.7978216576,
11.05,0.7880014777,0.7872800709,
11.084,0.7742058039,0.788704242,
11.117,0.7682284713,0.7726846268,
11.15,0.7531796694,0.7683221077,
11.184,0.7284913659,0.7500985885,
11.217,0.719145,0.7320799836,
11.25,0.7043708563,0.7151536733,
11.284,0.6791598797,0.7043708563,
11.317,0.6619021893,0.6859707816,
11.35,0.6403955817,0.6619021893,
11.384,0.6114509702,0.6462057253,
11.417,0.5638026595,0.6052213708,
11.45,0.5349572897,0.5704455473,
11.484,0.5039733052,0.5265867738,
11.517,0.443747431,0.5039733052,
11.55,0.4144278169,0.4358265551,
11.584,0.3858788908,0.4144278169,
11.617,0.3263367414,0.3935915605,
11.65,0.3023468554,0.3260733196,
11.684,0.258690685,0.3085644503,
11.717,0.2474477589,0.258690685,
11.75,0.2270419896,0.2504851052,
11.784,0.2209796607,0.2270419896,
11.817,0.2175658792,0.2226174365,
11.85,0.2234461606,0.2175836685,
11.884,0.2348920852,0.2218753553,
11.917,0.2460343242,0.2379022303,
11.95,0.2744370699,0.2460343242,
11.984,0.297758311,0.2807374481,
12.018,0.33913818,0.297758311,
12.05,0.355460763,0.3279591514,
12.084,0.3708800077,0.355460763,
12.117,0.3900486827,0.366714403,
12.152,0.3967498839,0.3903132076,
12.184,0.4026552141,0.3952040376,
12.217,0.4104017913,0.4036700219,
12.25,0.4110724628,0.4093238132,
12.284,0.4115672112,0.4112061221,
12.317,0.4095588326,0.4115672112,
12.35,0.3998034298,0.4061461758,
12.384,0.3882241845,0.3990262556,
12.417,0.356716454,0.3905752154,
12.45,0.3308273554,0.355564702,
12.484,0.2718372941,0.3366697041,
12.517,0.2368486524,0.2718372941,
12.55,0.2090195864,0.2463010513,
12.584,0.1441250592,0.1985266237,
12.618,0.1129083708,0.1511637561,
12.65,0.08219116926,0.12838045,
12.684,0.04836105555,0.08219116926,
12.717,0.01523911208,0.05750047092,
12.75,-0.0408546254,0.007038916056,
12.784,-0.06492554396,-0.0339007498,
12.817,-0.1131834462,-0.07169778565,
12.85,-0.1368526965,-0.1069185158,
12.884,-0.1589149982,-0.1432654626,
12.917,-0.2042431682,-0.1593674964,
12.95,-0.2210993022,-0.2095635886,
12.984,-0.2584478259,-0.2218659332,
13.017,-0.2657684386,-0.2604255349,
13.05,-0.2804104984,-0.2657684386,
13.084,-0.3132272363,-0.276454855,
13.117,-0.3251175284,-0.3132272363,
13.15,-0.3449141085,-0.3219052921,
13.184,-0.3531486094,-0.3449141085,
13.217,-0.3720949292,-0.3509240078,
13.25,-0.3901034594,-0.3733607116,
13.284,-0.4242674708,-0.3865041255,
13.317,-0.4385190904,-0.423746738,
13.351,-0.4576067924,-0.4341481941,
13.384,-0.4755341113,-0.4620837161,
13.417,-0.5094078183,-0.4751678584,
13.45,-0.5435978174,-0.5138548798,
13.484,-0.564604938,-0.5388082383,
13.517,-0.5822077394,-0.5693604442,
13.55,-0.6047664285,-0.5822077394,
13.584,-0.6487756968,-0.6166558057,
13.617,-0.6724473238,-0.6487756968,
13.65,-0.6895773411,-0.6660522867,
13.684,-0.7016351819,-0.6928348417,
13.717,-0.7334030271,-0.7016351819,
13.75,-0.7428461313,-0.7376018192,
13.784,-0.7578797936,-0.7444938102,
13.817,-0.761973381,-0.7554660352,
13.85,-0.7680014372,-0.7633218259,
13.884,-0.77682513,-0.7677213653,
13.917,-0.7790047526,-0.7785356894,
13.95,-0.7829609513,-0.7801264734,
13.984,-0.7976405621,-0.7857835861,
14.017,-0.7999471426,-0.7964974088,
14.05,-0.7887485027,-0.7982734581,
14.084,-0.7903729081,-0.7901002003,
14.117,-0.7914958596,-0.7912857625,
14.15,-0.7853517532,-0.7917657064,
14.184,-0.7789869905,-0.7872814685,
14.217,-0.767826736,-0.7761217,
14.25,-0.763379693,-0.7679764576,
14.284,-0.7591519356,-0.7607890963,
14.317,-0.7504408956,-0.7577034937,
14.35,-0.7448211312,-0.7513457953,
14.384,-0.7338101268,-0.7440420408,
14.417,-0.7302206755,-0.7360057276,
14.45,-0.7164364457,-0.7280405814,
14.484,-0.7171829343,-0.7179802469,
14.517,-0.7165083289,-0.7172275223,
14.55,-0.7266963124,-0.7167351657,
14.584,-0.7262123227,-0.7254988613,
14.617,-0.7307143807,-0.7251456244,
14.65,-0.7411308289,-0.7311748497,
14.684,-0.7456191182,-0.7387772296,
14.717,-0.7471368909,-0.7460291539,
14.75,-0.754616797,-0.7471368909,
14.784,-0.7608490586,-0.7551302756,
14.817,-0.7619386315,-0.759678853,
14.85,-0.7660152316,-0.760474071,
14.884,-0.7680594921,-0.7648679077,
14.917,-0.7813709974,-0.7663598986,
14.95,-0.7923249006,-0.7825647772,
14.984,-0.8337119818,-0.7905594154,
15.017,-0.8469911218,-0.8337119818,
15.05,-0.8652394414,-0.8434036796,
15.085,-0.9147137403,-0.8728882081,
15.117,-0.9338958263,-0.9089967179,
15.15,-0.9518918991,-0.9387575772,
15.184,-0.9929985404,-0.9518918991,
15.217,-1.0163517,-0.9818933259,
15.25,-1.037074208,-1.0163517,
15.284,-1.052874088,-1.031475894,
15.317,-1.08562243,-1.056426668,
15.35,-1.09437263,-1.080327842,
15.384,-1.108452559,-1.097215184,
15.418,-1.114643455,-1.107491332,
15.45,-1.111415625,-1.116086792,
15.484,-1.107999206,-1.11373098,
15.517,-1.095557332,-1.104778467,
15.55,-1.076913714,-1.095697843,
15.584,-1.063422322,-1.073268931,
15.617,-1.038081288,-1.063422322,
15.65,-1.014699936,-1.031764671,
15.684,-0.9585625529,-1.014699936,
15.717,-0.9356877208,-0.9499392429,
15.75,-0.8751760721,-0.9332441887,
15.784,-0.8386030793,-0.8890801379,
15.817,-0.8132894635,-0.8388443118,
15.85,-0.7642201185,-0.8203693266,
15.884,-0.740739882,-0.7642201185,
15.917,-0.7105223536,-0.7470832137,
15.95,-0.6865039468,-0.704170568,
15.984,-0.6357666254,-0.686640883,
16.017,-0.6108621955,-0.6496105642,
16.059,-0.5659035444,-0.6108621955,
16.084,-0.5485280752,-0.5780494033,
16.117,-0.5358048081,-0.5485949331,
16.15,-0.5268517137,-0.5393089356,
16.184,-0.5108844042,-0.5241496066,
16.217,-0.5089560747,-0.512495965,
16.25,-0.5048677921,-0.5080875668,
16.284,-0.5035136342,-0.5051037591,
16.317,-0.5003627539,-0.5041154354,
16.35,-0.4961184561,-0.4992989943,
16.384,-0.487781018,-0.4962013199,
16.417,-0.4765533805,-0.4846873771,
16.451,-0.466311723,-0.4764929556,
16.484,-0.4583478272,-0.4690181455,
16.517,-0.447842598,-0.4548793588,
16.55,-0.4253143966,-0.4472121825,
16.584,-0.4167353213,-0.4307701147,
16.617,-0.4056458175,-0.4167353213,
16.65,-0.3841061294,-0.399826737,
16.684,-0.3722527027,-0.3841061294,
16.717,-0.3625131547,-0.3754549796,
16.75,-0.3517478406,-0.3623346659,
16.784,-0.3341796398,-0.3544776682,
16.817,-0.3245215714,-0.3341796398,
16.85,-0.3164589405,-0.3271307586,
16.891,-0.3039889634,-0.3144036655,
16.917,-0.2984548509,-0.3053025301,
16.95,-0.2952937484,-0.2975103228,
16.984,-0.2949208915,-0.2952032117,
17.017,-0.2988786995,-0.2949310844,
17.05,-0.3026808798,-0.2990550951,
17.084,-0.3030544221,-0.3018300928,
17.117,-0.3014421761,-0.302232193,
17.15,-0.3057546914,-0.3010555052,
17.184,-0.3294119835,-0.3087473048,
17.217,-0.3449608684,-0.3260134325,
17.251,-0.3648341298,-0.3482422652,
17.284,-0.367284447,-0.3627466416,
17.317,-0.3696439564,-0.3680423705,
17.35,-0.3743470013,-0.3697644439,
17.384,-0.374917835,-0.3745012156,
17.417,-0.3872455657,-0.374917835,
17.45,-0.3918055296,-0.3886810208,
17.484,-0.3956886232,-0.3920090821,
17.517,-0.3909502029,-0.3944368742,
17.55,-0.3851164281,-0.3909785676,
17.584,-0.3573671281,-0.3776197824,
17.617,-0.3401784897,-0.3573671281,
17.65,-0.3114549518,-0.3448221071,
17.684,-0.2982898057,-0.3114549518,
17.717,-0.2746998668,-0.2919168371,
17.75,-0.2356635928,-0.2746998668,
17.784,-0.2130184472,-0.2462094847,
17.817,-0.1920071989,-0.2130184472,
17.85,-0.170960933,-0.1976835182,
17.884,-0.1396205425,-0.1655435027,
17.917,-0.1313035041,-0.1426699134,
17.95,-0.1167011485,-0.1286182424,
17.984,-0.1012363359,-0.1179608038,
18.017,-0.1015791073,-0.1012363359,
18.05,-0.09539314359,-0.09964061414,
18.084,-0.0909255594,-0.09512582692,
18.117,-0.07955864072,-0.08785471571,
18.15,-0.06514210254,-0.07955864072,
18.184,-0.03765644878,-0.06903681988,
18.217,-0.02252984792,-0.03759951716,
18.25,-0.005872928537,-0.02655946148,
