"/ual/odom/twist/twist/linear/x_x","/ual/odom/twist/twist/linear/x_y","/del_uav/KF_twist/x_y"
9.316,0.01002337974,0.01172630556,
9.349,0.03631498223,0.0274056182,
9.383,0.02345261112,-0.01591236719,
9.416,0.05481123639,-0.02941860223,
9.449,0.008175265613,-0.01522683481,
9.483,-0.03883720446,-0.02010590341,
9.516,-0.02045366962,-0.02552508094,
9.549,-0.01021180683,0.002157770533,
9.583,-0.02105016187,0.002843648736,
9.616,0.004315541066,-0.005210405863,
9.658,0.005687297472,-0.01986657643,
9.683,0.009579188274,-0.0337425282,
9.716,-0.01973315286,-0.05852919703,
9.749,-0.0174850564,-0.05741653207,
9.783,-0.04705839405,-0.04312255457,
9.816,-0.04483306414,-0.002441451864,
9.849,-0.03624510914,0.03880356317,
9.883,-0.004882903728,0.05352657221,
9.916,0.01760712633,0.02062599225,
9.949,0.07705314442,-0.008485173135,
9.983,0.05125198451,-0.0006879854054,
10.016,-0.00697034627,-0.01194640429,
10.05,0.01862402919,-0.01027722599,
10.083,-0.01389280857,-0.02042778646,
10.116,-0.01055445197,-0.002559376043,
10.149,-0.02085557293,-0.01090758135,
10.183,-0.005118752085,-0.03793606821,
10.216,0.008184837295,-0.05571790838,
10.249,-0.03587213641,-0.03607130161,
10.283,-0.05143581676,-0.04381655423,
10.316,-0.05214260321,-0.03499245265,
10.349,-0.03763310846,-0.01273209767,
10.383,-0.03998490529,-0.006686093268,
10.416,-0.02546419535,0.006212565194,
10.449,-0.01337218654,0.009615484706,
10.49,0.01242513039,0.04141767086,
10.516,0.01923096941,0.06912446057,
10.549,0.03283534172,0.07961566758,
10.583,0.08824892114,0.08655361235,
10.616,0.08923133515,0.08423289564,
10.649,0.0931072247,0.07874111655,
10.683,0.09846579129,0.06838297488,
10.716,0.09748223311,0.08491770856,
10.749,0.08676594975,0.1219281194,
10.783,0.09983541711,0.1519169152,
10.816,0.1438562389,0.1624422689,
10.85,0.1738338305,0.1721095564,
10.883,0.1748845379,0.1678371154,
10.916,0.1942191128,0.1647917907,
10.949,0.1856742308,0.1724612599,
10.983,0.1895835815,0.1974009301,
11.016,0.1949225199,0.2018846525,
11.049,0.2148018602,0.2115536744,
11.083,0.223769305,0.1956447798,
11.116,0.2331073489,0.1981615699,
11.149,0.2212895597,0.2109626362,
11.183,0.1963231397,0.2271820528,
11.216,0.2219252725,0.2254118292,
11.249,0.2443641055,0.2510105595,
11.283,0.2408236583,0.2714710243,
11.316,0.2420211189,0.2603811658,
11.349,0.2729420486,0.2748653295,
11.383,0.2607623315,0.2758563471,
11.416,0.269730659,0.2704042305,
11.449,0.2817126941,0.2588237761,
11.483,0.280808461,0.2819695619,
11.516,0.2776475521,0.2654764803,
11.549,0.2839391238,0.2711460034,
11.583,0.2609529605,0.2818540526,
11.616,0.2722920067,0.2678406011,
11.649,0.2937081052,0.2649972586,
11.683,0.2756812022,0.2491137796,
11.716,0.2699945172,0.2286296524,
11.749,0.2382275593,0.20766213,
11.783,0.2272593048,0.2235144755,
11.816,0.2053242601,0.2250413156,
11.849,0.207028951,0.221228109,
11.883,0.2300826313,0.1685147017,
11.916,0.2324562179,0.2119324707,
11.949,0.1970294034,0.2357203863,
11.983,0.2138649413,0.2598885747,
12.016,0.2414407726,0.2232463592,
12.049,0.2697771495,0.2766444804,
12.083,0.2264927184,0.3222393917,
12.116,0.2232889608,0.3132750765,
12.149,0.3144787833,0.3012000043,
12.183,0.326550153,0.3077104257,
12.216,0.2824000085,0.3282155752,
12.249,0.3054208513,0.3440128543,
12.283,0.3064311503,0.3523444838,
12.316,0.3380257086,0.3880450139,
12.349,0.3446889676,0.3559481048,
12.383,0.3660900278,0.3673062728,
12.416,0.3518962096,0.3667813113,
12.449,0.3746125457,0.3145445384,
12.483,0.3535626226,0.2832677779,
12.516,0.3090890768,0.2542248774,
12.549,0.2965355558,0.2614686541,
12.584,0.2684497548,0.2765376173,
12.616,0.2529373082,0.269164253,
12.649,0.2830752346,0.2829585545,
