"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
2.717,0.001742627705,4.412,0.1661976133,4.418,0.1738364547,
2.737,0.00174513722,4.454,0.16726476,4.467,0.1765908152,
2.757,0.00174448442,4.487,0.1681581841,4.504,0.1812446564,
2.777,0.001746547943,4.529,0.1707584619,4.528,0.1839269996,
2.797,0.001749494932,4.553,0.1729324948,4.56,0.1807064712,
2.817,0.001752333825,4.587,0.1724344226,4.599,0.1762840152,
2.837,0.001754938589,4.622,0.1720154533,4.634,0.1784451455,
2.857,0.001757427284,4.659,0.173521313,4.67,0.1798664778,
2.877,0.001760299098,4.686,0.1747713808,4.695,0.1822191924,
2.897,0.001762835306,4.72,0.1747178282,4.734,0.1893916428,
2.917,0.00176542498,4.76,0.1753732498,4.752,0.1822925508,
2.937,0.001767630159,4.795,0.1759292873,4.789,0.1724023074,
2.957,0.001769825161,4.822,0.1745381569,4.83,0.1596312672,
2.977,0.001775539322,4.851,0.1696736819,4.868,0.1488562077,
2.997,0.001778058722,4.886,0.1656203814,4.901,0.1439887583,
3.017,0.001780474384,4.922,0.1603872341,4.941,0.132298395,
3.037,0.001779649721,4.953,0.1546537055,4.96,0.1212160066,
3.057,0.001778572492,4.993,0.1480202567,5.001,0.107318826,
3.077,0.001781198008,5.02,0.1406371551,5.031,0.09617965668,
3.097,0.001783673681,5.053,0.1314770154,5.069,0.08490911871,
3.117,0.00178616036,5.087,0.1219893931,5.105,0.07453934103,
3.137,0.001788424257,5.12,0.1140798448,5.127,0.06939509511,
3.157,0.001790809471,5.153,0.1037681846,5.164,0.05834050849,
3.177,0.001793292607,5.186,0.09349888949,5.201,0.04743427783,
3.197,0.00179569385,5.22,0.08494810981,5.231,0.03658442572,
3.217,0.001798155522,5.254,0.07613939045,5.264,0.02744920366,
3.237,0.001800644824,5.286,0.06693898018,5.296,0.01963989437,
3.257,0.001802889186,5.319,0.05741278363,5.326,0.01271020435,
3.277,0.00180543765,5.357,0.05112268526,5.359,0.00999960769,
3.297,0.001808202646,5.393,0.04402640504,5.405,0.006598181091,
3.317,0.001810977271,5.423,0.03811335724,5.424,0.005360012408,
3.337,0.001813450454,5.455,0.03063157084,5.456,0.003704906674,
3.357,0.001817556329,5.489,0.02440029237,5.493,0.003343134187,
3.377,0.001817701785,5.519,0.02157025395,5.529,0.003453774843,
3.397,0.001820225385,5.552,0.01931587233,5.563,0.003909635823,
3.417,0.001822878815,5.586,0.01760166524,5.607,0.006174616981,
3.437,0.001825542176,5.619,0.01129377565,5.628,0.007008504122,
3.457,0.001827777871,5.657,0.006258250477,5.666,0.008956763893,
3.477,0.001830075715,5.686,0.002274505622,5.697,0.01107099187,
3.497,0.001832285722,5.719,0.0008276951235,5.726,0.01334737614,
3.517,0.001834629709,5.759,-0.0002000329201,5.772,0.01529093366,
3.537,0.00183743059,5.787,0.004421177566,5.793,0.01641747169,
3.557,0.001840318446,5.82,0.008268860758,5.824,0.01889720932,
3.577,0.001843206111,5.852,0.01145561021,5.873,0.02355466038,
3.597,0.001845729335,5.888,0.01596452243,5.892,0.02513075806,
3.617,0.001847835875,5.918,0.01690271239,5.931,0.02862364985,
3.637,0.001850880586,5.953,0.01760457415,5.97,0.03115575202,
3.657,0.001853268733,5.989,0.01818261528,5.996,0.03258499503,
3.677,0.001855862628,6.029,0.02057113788,6.037,0.03554435447,
3.697,0.001858312673,6.059,0.0225574441,6.061,0.03703423589,
3.717,0.001860571719,6.089,0.02420574855,6.107,0.04010761529,
3.737,0.001862817982,6.119,0.02557656708,6.123,0.04158994555,
3.757,0.001865088492,6.153,0.03487963084,6.163,0.04400238767,
3.777,0.001867237595,6.186,0.04449312506,6.198,0.04664813355,
3.797,0.001869589656,6.219,0.05255229736,6.24,0.04940868542,
3.817,0.001872075935,6.252,0.05927458672,6.258,0.05078642443,
3.837,0.00187468268,6.287,0.06492547989,6.293,0.05368455872,
3.857,0.001877160283,6.319,0.07112801712,6.326,0.05658813938,
3.877,0.001879692508,6.353,0.07816669111,6.364,0.05918429792,
3.897,0.001882206042,6.387,0.08415605295,6.396,0.06121623516,
3.917,0.001885074441,6.418,0.08791111868,6.439,0.06354226172,
3.937,0.001887583205,6.453,0.09105442599,6.457,0.0646206513,
3.957,0.001889745461,6.485,0.0938215145,6.492,0.06741972268,
3.977,0.001891629073,6.519,0.09799454217,6.531,0.07016436756,
3.997,0.001892402553,6.553,0.09373503781,6.57,0.07221786678,
4.017,0.001892690326,6.586,0.09018801094,6.605,0.07423502952,
4.037,0.001892808682,6.62,0.08724094541,6.624,0.07509810477,
4.057,0.001892859976,6.654,0.08479486759,6.666,0.07713911682,
4.077,0.001892881993,6.687,0.09754266016,6.696,0.07926599681,
4.097,0.001892892189,6.719,0.1101739817,6.728,0.08140288293,
4.117,0.001892897827,6.753,0.1208774113,6.759,0.08459865302,
4.137,0.001892900337,6.791,0.1130495195,6.802,0.08813925087,
4.157,0.001892901096,6.824,0.1066223405,6.826,0.08975633979,
4.177,0.001892901003,6.853,0.1031266535,6.859,0.09303518385,
4.197,0.001892901215,6.884,0.1003059577,6.894,0.09619081765,
4.217,0.001892901165,6.919,0.1053566578,6.932,0.09896025062,
4.237,0.001892900791,6.949,0.1095609321,6.962,0.100102298,
4.257,0.001892900071,6.987,0.11487215,7.001,0.1034107134,
4.277,0.0018929004,7.02,0.119294623,7.039,0.1068015397,
4.297,0.001892900594,7.052,0.1229287291,7.073,0.1098146588,
4.317,0.001892900568,7.086,0.1259531737,7.106,0.1128047854,
4.337,0.001892900765,7.119,0.1199860685,7.129,0.1138739809,
4.357,0.001892901879,7.152,0.114573558,7.158,0.1169095859,
4.377,0.00189290224,7.186,0.0863454205,7.201,0.1196243837,
4.397,0.001892902288,7.233,0.06209071865,7.221,0.1208110377,
4.417,0.001892902645,7.256,0.01859052598,7.269,0.1229566261,
4.437,0.001892903735,7.288,-0.01687935299,7.3,0.1249445975,
4.457,0.001892904612,7.319,-0.04649331555,7.313,0.1257341802,
4.477,0.001892911063,7.354,-0.06070886512,7.368,0.1278936118,
4.497,0.001894358262,7.386,-0.07350128482,7.408,0.1308107376,
4.517,0.001895409569,7.425,-0.08423920656,7.428,0.132094577,
4.537,0.001895389034,7.453,-0.04394425035,7.465,0.1343247443,
4.557,0.001895364738,7.487,-0.008506458944,7.502,0.1361140013,
4.577,0.001895324613,7.525,0.02105070861,7.526,0.1368423104,
4.597,0.001895286791,7.553,0.04568655705,7.56,0.1400036961,
4.617,0.001895251875,7.586,0.06576057443,7.605,0.1441117972,
4.637,0.001895213103,7.625,0.08436438303,7.63,0.145252198,
4.657,0.001895168446,7.655,0.09987303899,7.661,0.1474517584,
4.677,0.001895129824,7.695,0.1128120532,7.7,0.1490610987,
