"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_y"
1.046,0.001042286312,0.02254289829,0.05330400169,
1.066,0.001045612226,0.02404066278,0.0589260608,
1.086,0.001048892315,0.02642244028,0.06177487224,
1.106,0.001052252656,0.02858263467,0.06493189186,
1.126,0.001055659022,0.03158967301,0.07000593841,
1.146,0.001058910708,0.03344168089,0.07397563756,
1.166,0.001062193953,0.03616944022,0.08026652038,
1.186,0.001065456436,0.03863781807,0.08264722675,
1.206,0.001068688336,0.04087210912,0.08809994161,
1.226,0.001072146335,0.04289405861,0.08536156267,
1.246,0.001075585361,0.04478730295,0.08065333217,
1.266,0.001079006754,0.04650106702,0.08059623092,
1.286,0.001082443855,0.04805142351,0.08156868815,
1.306,0.001086087049,0.04942973665,0.08592487872,
1.326,0.001089704454,0.05067780397,0.08649749309,
1.346,0.001093106998,0.05182433536,0.08477004617,
1.366,0.001096388114,0.05408531326,0.08551089466,
1.386,0.001099698255,0.05717456538,0.09062661976,
1.406,0.001102987013,0.05995857449,0.09542509168,
1.426,0.001106138798,0.06247685718,0.1038981006,
1.446,0.001109459675,0.06436690927,0.1060219631,
1.466,0.001112728167,0.0660583192,0.1063781455,
1.486,0.001116387839,0.06808616649,0.1081019938,
1.506,0.001119942437,0.07052092026,0.1089419276,
1.526,0.001123739312,0.07276600795,0.1134676859,
1.546,0.001127422977,0.07479710937,0.1207970306,
1.566,0.001130992809,0.07768707681,0.1248633191,
1.586,0.001134602618,0.07925012997,0.1204353496,
1.606,0.001137894129,0.08066564037,0.1189607903,
1.626,0.001141127167,0.08266805491,0.1176095754,
1.646,0.001144470872,0.08448006513,0.1143043116,
1.666,0.001147896612,0.08612000128,0.1143947691,
1.686,0.001148494167,0.0865519964,0.105791755,
1.706,0.001153488261,0.08589137586,0.1015499681,
1.726,0.001150496775,0.08529053802,0.09258143604,
1.746,0.001154139141,0.08474693354,0.08509169519,
1.766,0.001157869186,0.08314344239,0.08197301626,
1.786,0.001161467417,0.0816840436,0.07583509386,
1.806,0.001164684921,0.07931078135,0.06621200591,
1.826,0.001168146809,0.07610062883,0.06124255434,
1.846,0.001171261966,0.07319476343,0.05200333893,
1.866,0.001174489189,0.06928219671,0.04762708768,
1.886,0.001177781396,0.06469048676,0.04035159945,
1.906,0.00118132685,0.06053608443,0.03201858699,
1.926,0.001185329688,0.05572561648,0.02647292614,
1.946,0.001189021225,0.05164277252,0.02107695304,
1.966,0.001192665963,0.04689754115,0.01695678011,
1.986,0.001196196503,0.04155212279,0.009775780141,
2.006,0.001199608623,0.03710281106,0.006435422227,
2.026,0.001203399265,0.03307589317,0.0009026092011,
2.046,0.00120724837,0.02942708438,-0.004015834536,
2.066,0.001210783051,0.0261160003,-0.006939616986,
2.086,0.001214143401,0.02224214978,-0.008704679087,
2.106,0.001217324662,0.01771450316,-0.01193468086,
2.126,0.001219425341,0.01362008913,-0.01362143457,
2.146,0.001224668556,0.01062054602,-0.01779250428,
2.166,0.001225194302,0.007905271126,-0.02009609714,
2.186,0.00122886692,0.005436467061,-0.02091995254,
2.206,0.001232037099,0.002139119479,-0.02448280901,
2.226,0.001234603041,-0.001480884195,-0.02802404761,
2.246,0.001238024958,-0.004742274235,-0.03065340407,
2.266,0.001241057401,-0.008458244294,-0.03277675807,
2.286,0.00124412772,-0.01182616945,-0.03582493588,
2.306,0.00124737601,-0.01487180369,-0.03642645851,
2.326,0.00125040655,-0.0186008526,-0.04042983428,
2.346,0.001253571046,-0.02197430772,-0.04524684325,
2.366,0.001257382952,-0.02607818909,-0.0501418449,
2.386,0.001260660953,-0.02796706419,-0.05622717366,
2.406,0.00126391225,-0.03072589347,-0.063049905,
2.426,0.001267200795,-0.03322204535,-0.06205188483,
2.446,0.001270294118,-0.0362280023,-0.06176844239,
2.466,0.001273419655,-0.0389611039,-0.06322720647,
2.486,0.001276532166,-0.04143508689,-0.06801440567,
2.506,0.00128020552,-0.04544757946,-0.07151883841,
2.526,0.001283881759,-0.05010976493,-0.07844374329,
2.546,0.001287133992,-0.05306377369,-0.08417733759,
2.566,0.001290435908,-0.05681316339,-0.09198161215,
2.586,0.001293495329,-0.06020803511,-0.1021065935,
2.606,0.00129672785,-0.0643584931,-0.106198065,
2.626,0.001300220004,-0.06995188373,-0.1170215011,
2.646,0.001303563963,-0.07606447514,-0.1308141053,
