"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_x","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_x","/ual/pose/pose/position/y_y"
1.196,0.001020047419,1.886,0.04686343942,1.873,0.02912383527,
1.216,0.001023099712,1.918,0.0453095802,1.892,0.02729507908,
1.236,0.001026188841,1.95,0.04211687639,1.926,0.02463665605,
1.256,0.001029458956,1.985,0.03817570572,1.967,0.02249301225,
1.276,0.001029888694,2.02,0.03622334331,2,0.01960022748,
1.296,0.001029869059,2.054,0.03445625206,2.026,0.01769526117,
1.316,0.001033184803,2.085,0.03285727106,2.066,0.01560211461,
1.336,0.001036329194,2.119,0.03141040366,2.101,0.0122648729,
1.356,0.001041247949,2.152,0.02850822284,2.121,0.009656609967,
1.376,0.001042352487,2.186,0.02588215136,2.16,0.00783822313,
1.396,0.001045945184,2.218,0.02350467898,2.191,0.006639763713,
1.416,0.001049056022,2.254,0.02245339798,2.231,0.007747992408,
1.436,0.001052828719,2.285,0.01964707772,2.27,0.009773130529,
1.456,0.001056303982,2.327,0.01710758278,2.29,0.01105972566,
1.476,0.001059704167,2.353,0.01480818166,2.339,0.01058067568,
1.496,0.001062899823,2.383,0.01377920737,2.372,0.01540801674,
1.516,0.00106596549,2.418,0.01284728445,2.396,0.01797958277,
1.536,0.001068863381,2.452,0.01260649872,2.427,0.02687796392,
1.556,0.001071464146,2.484,0.0134403996,2.471,0.03881458566,
1.576,0.001074202965,2.519,0.0152466376,2.494,0.04791907221,
1.596,0.001076802239,2.552,0.01849330756,2.515,0.05185857788,
1.616,0.001079639633,2.587,0.02251020441,2.562,0.06098087877,
1.636,0.001082663813,2.621,0.02719680718,2.6,0.07083915919,
1.656,0.001087264591,2.652,0.03249040832,2.62,0.07613483071,
1.676,0.001090114113,2.689,0.03833434093,2.669,0.09175696224,
1.696,0.001093000572,2.72,0.04467434047,2.69,0.0999244079,
1.716,0.001095849098,2.756,0.04884534883,2.73,0.1062596291,
1.736,0.001098642031,2.785,0.05261964562,2.771,0.1110350043,
1.756,0.001101442455,2.818,0.05708963274,2.79,0.1142172813,
1.776,0.001104126186,2.852,0.06376897617,2.838,0.1234437078,
1.796,0.001106535615,2.886,0.06982363581,2.858,0.1277077347,
1.816,0.001110670189,2.919,0.0745200368,2.89,0.1304648817,
1.836,0.001113514493,2.961,0.07876863129,2.932,0.1265656054,
1.856,0.001114428876,2.986,0.08155313513,2.971,0.1210012883,
1.876,0.001117099747,3.021,0.08407208402,2.99,0.1205309108,
1.896,0.001119878217,3.052,0.08763111543,3.027,0.1211445406,
1.916,0.001122773166,3.085,0.09084950579,3.065,0.1216305792,
1.936,0.001125738611,3.119,0.09182980147,3.096,0.1152315661,
1.956,0.001128709022,3.151,0.09167099983,3.138,0.1010402665,
1.976,0.001132683498,3.188,0.08942415544,3.157,0.09351821989,
1.996,0.001132589875,3.218,0.08739739997,3.193,0.08269071579,
2.016,0.001137935695,3.26,0.08603810187,3.229,0.07218717784,
2.036,0.001138841614,3.287,0.08480782045,3.258,0.06987183541,
2.056,0.001139618774,3.32,0.08263983573,3.295,0.06481282413,
2.076,0.00114142772,3.351,0.07962600751,3.328,0.05567731336,
2.096,0.001141911211,3.388,0.0753779405,3.359,0.04818416759,
2.116,0.001142017355,3.421,0.0704804902,3.38,0.04536277801,
2.136,0.001142074113,3.455,0.06604853814,3.423,0.0428378433,
2.156,0.001142122504,3.485,0.0620379327,3.467,0.03862819448,
2.176,0.001142144652,3.519,0.05840660503,3.502,0.03689971939,
2.196,0.001142161466,3.552,0.05543703351,3.524,0.03395437822,
2.216,0.001142200146,3.584,0.05274975538,3.563,0.03155764192,
2.236,0.001142231325,3.619,0.04961140756,3.6,0.0301775746,
2.256,0.001142238086,3.653,0.04677154069,3.62,0.02985081263,
2.276,0.001142239217,3.684,0.04420118597,3.66,0.0290987324,
2.296,0.001142240715,3.724,0.041875226,3.698,0.02679385059,
2.316,0.00114224384,3.772,0.03924206405,3.734,0.02304726839,
2.336,0.001142480547,3.788,0.03685909093,3.758,0.02142439969,
2.356,0.001142244505,3.822,0.03470271526,3.788,0.01988207176,
2.376,0.001138925822,3.855,0.03275140496,3.833,0.01719769277,
2.396,0.001139016967,3.897,0.0305488981,3.868,0.01451530587,
2.416,0.001138975135,3.921,0.0275057705,3.893,0.01275728643,
2.436,0.001145307366,3.958,0.02475226248,3.926,0.007842361927,
2.456,0.001145204669,3.985,0.02225892381,3.968,0.001679626061,
2.476,0.001145093652,4.019,0.02000261555,4,-0.00386632653,
2.496,0.001145000104,4.05,0.01736800992,4.017,-0.007094913162,
2.516,0.001144917783,4.085,0.01392949764,4.066,-0.01256538276,
2.536,0.001144839391,4.122,0.01075019444,4.092,-0.01552666817,
2.556,0.001144786049,4.152,0.007868746246,4.115,-0.01814018749,
2.576,0.001144773709,4.181,0.004109916488,4.166,-0.02519920282,
2.596,0.001142953609,4.218,0.003911674329,4.195,-0.02903421596,
2.616,0.001145667824,4.251,0.002550057528,4.225,-0.03294150904,
2.636,0.001145383678,4.285,-0.003100554504,4.257,-0.03671080247,
2.656,0.001145216632,4.319,-0.008052405596,4.292,-0.03970389441,
2.676,0.001145115892,4.353,-0.01251077204,4.327,-0.04100780562,
2.696,0.001145048698,4.384,-0.01642540439,4.368,-0.04203651845,
2.716,0.001144998589,4.419,-0.01509099833,4.388,-0.04276839644,
2.736,0.001144970406,4.452,-0.01374654728,4.432,-0.04334471747,
2.756,0.001144963688,4.491,-0.01238993731,4.468,-0.04385293275,
2.776,0.001144967513,4.521,-0.01114410218,4.492,-0.0439408794,
2.796,0.00114497132,4.552,-0.009893158316,4.533,-0.04286122695,
2.816,0.001144968325,4.585,-0.01453546849,4.571,-0.04171312228,
2.836,0.001144960447,4.618,-0.0186655197,4.595,-0.04122423753,
