"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_y"
2.788,0.002392990518,0.1798727591,-0.007646889891,
2.808,0.002399535802,0.17601468,-0.02079402842,
2.828,0.002405962346,0.1721613811,-0.02500296012,
2.848,0.002411891584,0.1686744914,-0.02725706063,
2.868,0.002417856056,0.1644584012,-0.03251162916,
2.888,0.002423493365,0.160643309,-0.03465345129,
2.908,0.002424801375,0.1567440799,-0.0393409431,
2.928,0.002430093983,0.1521570223,-0.04126136005,
2.948,0.0024356091,0.1490187957,-0.04362098128,
2.968,0.002441471441,0.1461794147,-0.04827904329,
2.988,0.002448085602,0.1425512695,-0.04848491773,
3.008,0.002454443346,0.1392690358,-0.04953671619,
3.028,0.002459948639,0.1355709822,-0.04859308153,
3.048,0.002465794055,0.1322233874,-0.04990494624,
3.068,0.002471611306,0.1291940206,-0.05230648071,
3.088,0.002477347044,0.126061994,-0.0582026951,
3.108,0.002483110085,0.1221734833,-0.06583185494,
3.128,0.002488943507,0.1186554481,-0.07107127458,
3.148,0.00249512987,0.1145324558,-0.08046357334,
3.168,0.002501027942,0.1097434611,-0.08402633667,
3.188,0.002505426808,0.1054098573,-0.0824207291,
3.208,0.002510751499,0.1014884264,-0.07503946871,
3.228,0.00251722995,0.09905500643,-0.06963311136,
3.248,0.002523123119,0.09685335704,-0.05895092338,
3.268,0.002529051585,0.09592026261,-0.04767984152,
3.288,0.002534754332,0.09754753802,-0.03587882221,
3.308,0.002540868874,0.09800490181,-0.02624733932,
3.328,0.002546738197,0.09841922993,-0.02250665613,
3.348,0.00255282478,0.1003354274,-0.0154254213,
3.368,0.002558552373,0.1031280962,-0.00640276866,
3.388,0.002564590019,0.1056529379,-0.002501760377,
3.408,0.002570396502,0.1089963139,0.004928255454,
3.428,0.002576241739,0.11325823,0.006284771021,
3.448,0.002582022235,0.1171146446,0.00691978028,
3.468,0.002587980204,0.1206003579,0.007090848871,
3.488,0.002593694395,0.1237541227,0.007520258427,
3.508,0.002599483209,0.1260161232,0.009648482315,
3.528,0.002605481505,0.1280664801,0.01083923597,
3.548,0.002611520781,0.1284050132,0.009884567931,
3.568,0.002617065622,0.1287082277,0.009566809051,
3.588,0.002622867307,0.1299726813,0.01246391982,
3.608,0.002628913064,0.1311166163,0.01587480679,
3.628,0.002634830746,0.1332106293,0.01864980347,
3.648,0.002640694701,0.1351052078,0.01921265759,
3.668,0.002646712783,0.1369708012,0.0142521942,
3.688,0.002652262158,0.1386612229,0.01378589869,
3.708,0.002658287562,0.1401929104,0.01630555838,
3.728,0.002664649749,0.1415790379,0.01742349565,
3.748,0.002670715287,0.1428341892,0.01588283293,
3.768,0.002676125492,0.145135538,0.009981481358,
3.788,0.002682031123,0.1472237103,0.005875895265,
3.808,0.002687952579,0.1480547995,-0.003336788388,
3.828,0.002694170727,0.1488178279,-0.009449660778,
3.848,0.002698708135,0.149509197,-0.01696101576,
3.868,0.002703105547,0.1494350381,-0.02323795296,
3.888,0.002708631719,0.1493655693,-0.02854080498,
3.908,0.002714511167,0.1482435853,-0.03109918721,
3.928,0.002720740395,0.1443178111,-0.03376330063,
3.948,0.002727313784,0.1407586519,-0.03945532814,
3.968,0.002733596964,0.136478776,-0.04564413428,
3.988,0.002740028982,0.1341707158,-0.04924455285,
