"/ual/velocity/twist/linear/x_x","/ual/velocity/twist/linear/x_y","/uav_ground_truth/twist/twist/linear/x_y"
16.431,-0.2873748541,-0.006150428024,
16.473,-0.2645044029,0.00943579037,
16.508,-0.2475763559,0.007024289906,
16.527,-0.2412137687,-0.01366087135,
16.571,-0.2240496874,-0.002009089853,
16.602,-0.2113750279,0.002953168546,
16.633,-0.1905884445,0.002653280245,
16.672,-0.1752931923,-0.01830151289,
16.689,-0.1642108709,0.01372875894,
16.742,-0.1524676383,-0.0009969397151,
16.773,-0.1458782107,0.003848940747,
16.804,-0.1370490789,0.004448731297,
16.833,-0.1233591363,6.176431122e-05,
16.873,-0.1104987562,0.007510232026,
16.909,-0.07320841402,0.01216385563,
16.926,-0.07728435844,-0.007399786897,
16.966,-0.08639758825,-0.02286447529,
17.008,-0.09343738109,-0.00221876658,
17.039,-0.05377207324,0.000532633978,
17.074,0.01387458481,-0.0005785776075,
17.103,0.02637673728,-0.00400188035,
17.134,-0.00601706747,-0.01115905443,
17.175,0.01716742106,0.003610201053,
17.191,-0.01006005798,-0.0009973405506,
17.224,0.02271826193,-0.01084309231,
17.27,0.03740866482,-0.011865476,
17.288,0.0221689716,0.0003598321039,
17.33,-0.003417486325,0.001668324112,
17.375,-0.01314284932,-0.01933494814,
17.386,-0.007354134228,0.01095596915,
17.435,-0.06882750988,0.01484740008,
17.476,-0.1058077514,-0.005499612947,
17.506,-0.1123159155,-0.01022142933,
17.542,-0.02268998511,0.01852529899,
17.568,-0.004406719003,-0.0006197196274,
17.585,0.002513701795,-0.01694281365,
17.63,0.05280296877,-0.004923095697,
17.672,0.06488222629,-0.0008733513983,
17.699,0.07975523919,0.01277717696,
17.734,0.09587419033,-0.005648735314,
17.773,0.0417166017,0.000222819374,
17.788,-0.0001949792786,0.004189421626,
17.838,0.06153032184,0.002037436662,
17.874,0.1030829623,0.007946503817,
17.906,0.1410355568,0.001578934866,
17.916,0.1429925412,-0.003353217409,
17.976,0.1974473,-0.005914502383,
18.009,0.1644891053,-0.0112707317,
18.041,0.2080993205,0.007629151732,
18.068,0.2192542553,0.008755556602,
18.091,0.2161279768,-0.008657918636,
18.134,0.200862363,0.008823211181,
18.166,0.2227673829,0.0007780904265,
18.194,0.2404271215,0.009774748443,
18.232,0.2034963071,0.0006125433525,
18.273,0.2131714076,-0.002062272302,
18.302,0.202473551,-0.003356197988,
18.342,0.2032596767,-0.01013228024,
18.375,0.2081047744,-0.002467197646,
18.408,0.247570619,-0.003595418042,
18.437,0.2997469902,0.006295030345,
18.464,0.2740030289,0.01415618596,
18.493,0.3005818427,0.0119262611,
18.532,0.3495419025,-0.01443995394,
18.576,0.2973532677,-0.004172716504,
18.592,0.2961611152,0.01367575513,
18.629,0.246832341,-0.01523383624,
18.662,0.2500354946,-0.006486411377,
18.695,0.2097728997,0.001630094553,
18.729,0.275496155,-0.006242180307,
18.776,0.2542780936,-0.002682252701,
18.803,0.2505192459,0.005338779648,
18.838,0.2325781882,-0.008877893878,
18.858,0.2376714647,0.001292835988,
18.896,0.2067440152,-0.003235541724,
18.928,0.2121836245,-0.005666111041,
18.972,0.2426161766,-0.005810190284,
19.007,0.2409651279,0.001513383098,
19.038,0.2510608435,-0.0101010811,
19.068,0.2257282585,0.0034635895,
19.094,0.2598860562,0.004620178723,
19.133,0.2339252084,0.01017474644,
19.173,0.2390734553,-0.01492454134,
19.207,0.2526970208,0.00778917704,
19.233,0.2668128014,-0.008861992503,
19.266,0.2147169262,-0.002483710413,
19.308,0.2150265723,0.009641257459,
19.322,0.2115782946,0.004431618975,
19.364,0.1451761276,-0.02429603313,
19.402,0.1358517557,-0.02628321089,
19.43,0.10895513,-0.002235320946,
19.472,0.1793159544,0.009366108324,
19.5,0.19104442,0.001068748859,
19.528,0.1292992085,0.01815840781,
19.57,0.1469234973,-0.005627956911,
19.6,0.1554021239,-0.008473952721,
19.629,0.2063554078,0.00688940646,
19.671,0.2432078868,-0.00365461488,
19.701,0.2626129389,0.001967581592,
19.733,0.2740753591,0.002206223825,
19.763,0.2780991197,0.008429727376,
19.794,0.2918295562,-0.0002996862198,
19.834,0.3137103319,0.007262839403,
19.864,0.2272179127,-0.004483158381,
19.902,0.1910547912,0.001241442747,
19.938,0.1835410148,0.005830203501,
19.973,0.1878183782,-0.00675888984,
20.006,0.1286315173,0.02486412686,
20.038,0.08713782579,0.007750958587,
20.076,0.06745786965,-0.002779660176,
20.107,0.08351360261,-0.00396078048,
20.134,0.09918638319,-0.009029299022,
20.161,0.1086988896,-0.002242480118,
20.201,0.13807863,0.0330302949,
20.233,0.1231032163,0.0008743896804,
20.269,0.07411639392,-0.005714832835,
20.301,0.04132100567,0.01526965548,
20.341,0.04417707399,-0.002195902444,
20.374,0.004324607551,0.007109884398,
20.402,0.006033751182,0.01081991312,
20.435,0.04925694317,0.0101856553,
20.473,0.0193138849,-0.00574006,
20.501,0.0625371635,0.01254364126,
20.54,0.09334372729,0.0005478003556,
20.568,0.1197073683,-0.01428751988,
20.595,0.1738985777,-0.01180790158,
20.63,0.2048858106,0.01169106144,
20.664,0.2996165752,-0.003069458994,
20.699,0.2076499909,-0.01265479739,
20.741,0.0909485817,0.02632940107,
20.758,0.07123917341,-0.003515672966,
20.809,0.1237116456,-0.005354654803,
20.834,0.09645819664,0.002430086497,
